event_id,segment_start_time_s,event_peak_time_s,segment_end_time_s,segment_width_us,peak_abs_v,analysis_start_index,analysis_stop_index,residual_noise_sigma_v,capture_id
1,0.019620000000000002,0.01965,0.02126,1649.9999999999327,23.297784787052137,1965,2165,0.18669443888319637,1
1,0.039610000000000006,0.03971,0.041210000000000004,1609.9999999999343,24.169058098969387,3971,4171,0.1838260401290645,2
1,0.02841,0.028440000000000003,0.030050000000000004,1649.9999999999327,24.128323482146072,2844,3044,0.19076798121793484,3
2,0.03019,0.030220000000000004,0.030250000000000003,69.99999999999714,1.5751721247007424,3022,3222,0.19076798121793484,3
1,0.02306,0.023160000000000004,0.024640000000000002,1589.9999999999352,22.764146658809523,2316,2516,0.1908172087208154,5
1,0.017890000000000003,0.017920000000000002,0.019600000000000003,1719.99999999993,17.768424504962198,1792,1992,0.18975858056931383,6
1,0.02723,0.027340000000000003,0.028640000000000002,1419.9999999999422,20.2960195984908,2734,2934,0.18940232497569584,8
1,0.026140000000000004,0.026170000000000002,0.02773,1599.9999999999347,19.033347880556306,2617,2817,0.19318578505457254,9
1,0.027340000000000003,0.027370000000000002,0.029320000000000002,1989.9999999999188,26.071263337743858,2737,2937,0.20071755213514997,12
1,0.034140000000000004,0.03425,0.035570000000000004,1439.9999999999413,19.344196398396917,3425,3625,0.19012435957315024,14
1,0.02222,0.022250000000000002,0.02373,1519.9999999999382,17.985650401873784,2225,2425,0.19430568478496305,15
2,0.02392,0.023950000000000003,0.02398,69.99999999999714,1.7979137217313657,2395,2595,0.19430568478496305,15
1,0.021320000000000002,0.02135,0.023280000000000002,1969.9999999999197,24.927756245330215,2135,2335,0.18000203089693595,18
1,0.032100000000000004,0.0322,0.033780000000000004,1689.999999999931,23.72853983494081,3220,3420,0.18691696492368612,20
1,0.027010000000000003,0.027090000000000003,0.028640000000000002,1639.9999999999332,20.341135291721116,2709,2909,0.1925159087244981,21
