cluster_id,mode_type,event_count,unique_capture_count,occurrence_rate,median_frequency_hz,frequency_std_hz,median_decay_rate_per_s,decay_rate_std_per_s,median_time_constant_ms,median_reconstruction_nrmse,capture_ids,stacked_frequency_hz,stacked_decay_rate_per_s,stacked_time_constant_ms
1,oscillatory,8,8,0.3333333333333333,8170.3759297470315,45.699107352269124,1730.4733481473793,93.69919581081562,0.5778795122321594,0.05202774847706484,"1,3,6,9,12,15,18,21",8170.417397298945,1708.3941433276145,0.5853450176621405
2,real_decay,5,5,0.20833333333333334,0.0,0.0,2203.889654910736,66.04037519730196,0.453743225198134,0.06168336811162973,"2,5,8,14,20",0.0,2208.0249135354698,0.45289344059021913
