case_id,truth,predicted,is_positive,confidence,reason,source_event_count,fit_r2,wc2_score,lag_us,fit_gain_k,ring_frequency_hz,ring_q_estimate
inductive_0173,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.924642156558326,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.991; source/victim lag -20.0 us within window; WC2/correlation support 0.991; source and victim both have strong transient peaks,1,0.9911283991790949,0.991128425001971,-20.000000000002654,0.0004739349515301239,39719.62616821902,488.8553008190233
inductive_0174,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.924951034523127,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.998; source/victim lag -20.0 us within window; WC2/correlation support 0.998; source and victim both have strong transient peaks,1,0.9983939838325873,0.9983939895315473,-20.000000000002654,-0.0004564915480421545,57113.187954301866,1803.320018989982
inductive_0175,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9421603239592549,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.995; source/victim lag -8.0 us within window; WC2/correlation support 0.995; source and victim both have strong transient peaks,1,0.9953703677662733,0.9953703714289953,-8.000000000001062,-0.00024574246168430555,778.8161993768437,3.957764818691385
inductive_0176,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9127429920109241,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.992; source/victim lag -20.0 us within window; WC2/correlation support 0.992; source and victim both have strong transient peaks,2,0.9918357065073637,0.991836041305362,-20.000000000002654,0.0004837062570947743,519.2107995845624,8.476445347076591
inductive_0177,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.8774851832668459,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.865; source/victim lag 12.0 us within window; WC2/correlation support 0.865; source and victim both have strong transient peaks,1,0.8650135818755479,0.8650142213544183,12.000000000001593,0.0006109401097269737,41796.46936655728,930.6861088602594
inductive_0178,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9406629768203738,positive: single/few dominant source event(s); unknown-gain source fit passed R2=1.000; source/victim lag -12.0 us within window; WC2/correlation support 1.000; source and victim both have strong transient peaks,1,0.9996493930930164,0.9996493944665789,-12.000000000001593,0.0005631114541621198,519.2107995845624,3.30487295884457
inductive_0179,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9277216596977788,positive: single/few dominant source event(s); unknown-gain source fit passed R2=1.000; source/victim lag 20.0 us within window; WC2/correlation support 1.000; source and victim both have strong transient peaks,1,0.9998007117297567,0.9998007138939815,20.000000000002654,-0.000580962497372278,519.2107995845624,3.4737833336876607
inductive_0180,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9357739393110782,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.991; source/victim lag 12.0 us within window; WC2/correlation support 0.991; source and victim both have strong transient peaks,1,0.9906741845958827,0.990674199975383,12.000000000001593,0.0003806350285177995,50103.84215991027,382.82009037656184
inductive_0181,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9405931003196306,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.999; source/victim lag -12.0 us within window; WC2/correlation support 0.999; source and victim both have strong transient peaks,1,0.9994688005235106,0.9994688020931024,-12.000000000001593,-0.0004880964923965825,519.2107995845624,3.091195647838505
inductive_0182,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9300148872328015,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.993; source/victim lag -16.0 us within window; WC2/correlation support 0.993; source and victim both have strong transient peaks,1,0.9929898436436376,0.9929898705825909,-16.000000000002125,0.00014273788925384814,53738.31775700221,315.90807236369614
inductive_0183,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9442808719442263,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.999; source/victim lag 28.0 us within window; WC2/correlation support 0.999; source and victim both have strong transient peaks; ringdown tail supports kick but is not primary evidence,1,0.9989042374322153,0.9989043056338335,28.000000000003716,0.0003985454668236235,519.2107995845624,6.195765776410023
inductive_0184,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.8499544920591984,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.989; source/victim lag 60.0 us within window; WC2/correlation support 0.989; source and victim both have strong transient peaks,2,0.9894696091861134,0.989471920172134,60.000000000007965,0.0007947194266814802,519.2107995845624,5.729167714081036
inductive_0185,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.951929101054118,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.987; source/victim lag -4.0 us within window; WC2/correlation support 0.987; source and victim both have strong transient peaks,1,0.9873642804291248,0.9873642961370438,-4.000000000000531,-0.0005609383271023432,519.2107995845624,10.19317183257033
inductive_0186,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.8636377072178874,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.995; source/victim lag 60.0 us within window; WC2/correlation support 0.995; source and victim both have strong transient peaks,1,0.9945992295205885,0.9946013708795038,60.000000000007965,-0.0006440335570767848,519.2107995845624,7.634869173424144
inductive_0187,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9383251439495803,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.999; source/victim lag -20.0 us within window; WC2/correlation support 0.999; source and victim both have strong transient peaks; ringdown tail supports kick but is not primary evidence,1,0.9992438607127884,0.9992438840553146,-20.000000000002654,-0.00045509898083105757,519.2107995845624,6.766516107736051
inductive_0188,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.8376896644230325,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.742; source/victim lag -20.0 us within window; WC2/correlation support 0.742; source and victim both have strong transient peaks,1,0.7416046470637391,0.7416060150069178,-20.000000000002654,-0.00011762914218423057,66978.19314640855,1700.2512377326639
inductive_0189,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.8752649114367707,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.962; source/victim lag 36.0 us within window; WC2/correlation support 0.962; source and victim both have strong transient peaks,1,0.9621321978696008,0.9621336071392468,36.000000000004775,-0.0007153288754091484,44132.917964687804,460.8574906323187
inductive_0190,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.8259470858773393,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.873; source/victim lag 48.0 us within window; WC2/correlation support 0.873; source and victim both have strong transient peaks,0,0.872632066396712,0.8726422244800888,48.000000000006374,0.00028212051946524313,42315.680166141836,1752.6692966952864
inductive_0191,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9005459877810551,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.993; source/victim lag 40.0 us within window; WC2/correlation support 0.993; source and victim both have strong transient peaks,1,0.9931585866150211,0.9931589152450329,40.00000000000531,-0.0008611251301368142,519.2107995845624,3.4816489951314162
inductive_0192,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.8398371967057995,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.986; source/victim lag 64.0 us within window; WC2/correlation support 0.986; source and victim both have strong transient peaks,2,0.9857767770863803,0.9857855053992987,64.0000000000085,0.0007536019657377321,519.2107995845624,9.79747640630049
inductive_0193,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9353908917071263,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.992; source/victim lag 12.0 us within window; WC2/correlation support 0.992; source and victim both have strong transient peaks,1,0.9919569448592327,0.9919569498124333,12.000000000001593,0.0004375493777455808,42575.28556593412,821.5636646893919
inductive_0194,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.9298304096411857,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.994; source/victim lag 16.0 us within window; WC2/correlation support 0.994; source and victim both have strong transient peaks,1,0.9943442318546643,0.9943442565838237,16.000000000002125,-8.501833521320594e-05,50363.44755970256,299.89171998442845
inductive_0195,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.935815375931447,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.997; source/victim lag -12.0 us within window; WC2/correlation support 0.997; source and victim both have strong transient peaks,1,0.9969111968847866,0.9969112033381402,-12.000000000001593,-0.0008574397786333265,62564.90134993978,425.23273527322624
inductive_0196,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.8771964440552004,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.999; source/victim lag 56.0 us within window; WC2/correlation support 0.999; source and victim both have strong transient peaks,1,0.9987361745252988,0.9987362072977395,56.00000000000743,0.0006807249016503016,519.2107995845624,2.3666772035991928
inductive_0197,relay_coil_inductive_kick,relay_coil_inductive_kick,True,0.89634484400966,positive: single/few dominant source event(s); unknown-gain source fit passed R2=0.961; source/victim lag 36.0 us within window; WC2/correlation support 0.961; source and victim both have strong transient peaks,1,0.9610804743990478,0.9610811462799996,36.000000000004775,0.0008267528105597349,69314.64174453908,717.2089004044765
