trial_id,case,expected,observed,pass,expected_pulses,matched_pulses,missed_pulses,split_pulses,merged_groups,extra_output_pulses,detection_ratio,acquisition_limited_events,fs,source_width_s,latency_min_s,latency_max_s,minimum_valid_width_s,source_amplitude,output_noise,first_event_class,first_event_confidence,first_event_peak,estimated_tau_s,estimated_cutoff_hz
11,healthy,valid pulse propagation,valid pulse propagation,True,2,2,0,0,0,0,1.0,0,1000000.0,0.0003715517930900624,0.00011735735039615692,0.002711619260165876,0.00021226746141153797,25.693680419752404,0.1176202473215313,valid pulse propagation,high,26.103154829316335,,
12,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,500000.0,0.0006488545496266472,0.00017758893843842835,0.0022150477069164424,0.00030003251970870965,27.46315775920329,0.01787871583937187,valid pulse propagation,high,27.52016059420211,,
13,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,800000.0,0.0002812341830731345,0.00013531966160328074,0.0025170576392982555,0.00011569137734252524,22.272151460965272,0.10788014892209132,valid pulse propagation,high,22.586066275918373,,
14,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,625000.0,0.000532610263769235,9.607026096535529e-05,0.0030674560540999017,0.0002584984925163424,25.445734787204383,0.045817642864126,valid pulse propagation,high,25.57824283096006,,
15,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,800000.0,0.000532535144415714,0.00022548570833451391,0.002742884230350447,0.00029155095890154466,26.91756805305729,0.06535074930327239,valid pulse propagation,high,27.099490359393943,,
16,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,625000.0,0.0005652700949608844,0.0001796248951579472,0.0031500804995685692,0.00030075558732559554,22.986513792010225,0.10933706966068055,valid pulse propagation,high,23.299560265569767,,
17,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,500000.0,0.00041179085285043176,0.00016478023316372604,0.002690064164184083,0.00016919110970543323,25.262136857144554,0.024811484660208875,valid pulse propagation,high,25.333701943384014,,
18,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,800000.0,0.0004009881114565602,0.00015561515413954619,0.0022024157809799297,0.00015275014881482995,26.61473634927288,0.0682375913182626,valid pulse propagation,high,26.833769274754054,,
19,healthy,valid pulse propagation,valid pulse propagation,True,2,2,0,0,0,0,1.0,0,1250000.0,0.00018698144485561216,0.00012772861390583344,0.003482932777933213,7.807157647441675e-05,22.54604065768238,0.038428931915116794,valid pulse propagation,high,22.62572890248338,,
20,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,800000.0,0.00044795366574085086,0.00011796467718672488,0.0029997811433158895,0.0002455984121493084,27.910192403558295,0.02108612563625266,valid pulse propagation,high,27.981646399900498,,
21,healthy,valid pulse propagation,valid pulse propagation,True,2,2,0,0,0,0,1.0,0,1000000.0,0.0003426484863462918,9.943178742421057e-05,0.0029831147326281017,0.00018885420546488105,22.49807689009369,0.04825200294228056,valid pulse propagation,high,22.651756657761624,,
22,healthy,valid pulse propagation,valid pulse propagation,True,1,1,0,0,0,0,1.0,0,800000.0,0.0005921017233302782,0.00012451953756957083,0.002249755697053997,0.0002850531609068759,27.03145934459414,0.025574700063856304,valid pulse propagation,high,27.118949673717236,,
23,healthy,valid pulse propagation,valid pulse propagation,True,2,2,0,0,0,0,1.0,0,800000.0,0.0004878639985970522,9.564840089739471e-05,0.00330621425137464,0.0002562117723359678,27.324072536082554,0.08930283037720213,valid pulse propagation,high,27.538364033406165,,
24,healthy,valid pulse propagation,valid pulse propagation,True,2,2,0,0,0,0,1.0,0,800000.0,0.00029327738749911216,0.00018504208857089737,0.0023399411538736156,0.00013456918695559257,21.61482691590156,0.10034781045035875,valid pulse propagation,high,21.873257846806915,,
25,healthy,valid pulse propagation,valid pulse propagation,True,2,2,0,0,0,0,1.0,0,1000000.0,0.0004468003012232332,0.00022565007752995233,0.002181237905048598,0.00021014087664317173,25.590013376577005,0.07147237287226911,valid pulse propagation,high,25.789540533420375,,
26,healthy,valid pulse propagation,valid pulse propagation,True,2,2,0,0,0,0,1.0,0,1250000.0,0.00018967071133877325,0.0002047285290326174,0.0024938778285382665,0.00010612611007486587,25.64405822875448,0.04900376829715447,valid pulse propagation,high,25.76250740203698,,
27,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,500000.0,0.0006065267699917949,0.00016244867232306591,0.002440227194183516,0.00029394754064055486,25.948649501664214,0.06034728100232435,valid pulse propagation,high,26.146423920310813,,
28,healthy,valid pulse propagation,valid pulse propagation,True,2,2,0,0,0,0,1.0,0,625000.0,0.00045381796090936935,0.000200685261076903,0.002783488113523345,0.00020376282118600883,24.00859838804999,0.021616141524073214,valid pulse propagation,high,24.08002968986371,,
29,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,625000.0,0.0006771442857731577,0.00023418332039691246,0.0034032992341637555,0.00034818254166094846,20.290987678053597,0.09660807868095286,valid pulse propagation,high,20.65687407428439,,
30,healthy,valid pulse propagation,valid pulse propagation,True,3,3,0,0,0,0,1.0,0,800000.0,0.00036412867706620087,0.00016717409658299943,0.002844655523942831,0.0001442987172389106,23.583139747677016,0.061117535685227396,valid pulse propagation,high,23.83439794330863,,
