scenario_id,subtype,seed,truth_decay_rate_per_s,truth_frequency_hz,decay_rate_per_s,dominant_frequency_hz,damping_ratio,quality_factor,confidence_tier,uncertainty_fraction,lower_bound_per_s,upper_bound_per_s,estimator_count,estimator_names,estimator_spread_fraction,selected_input_model,impulse_fit_r2,reconstruction_r2,nonlinear_alpha,decrement_alpha,esprit_alpha,classification_unchanged,accepted_decay_rate_per_s,accepted_damping_ratio,accepted_quality_factor,accepted_lower_bound_per_s,accepted_upper_bound_per_s,damping_status,event_frequency_mad_fraction,event_shift_mad_samples,secondary_peak_ratio,accepted_relative_error,truth_inside_final_interval,candidate_relative_error,event_count_stationarity,frequency_relative_error
1,standard,792394621,7672.134886125444,9203.40551642495,7707.406479753229,9231.017534548926,0.13172789566345436,3.7957032372051804,high,0.35,5009.814211839599,10404.99874766686,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.003429999082133567,combined,0.9990365095739345,0.9292110087301004,7707.406479753229,7406.678329713722,7733.842876904413,True,7707.406479753229,0.13172789566345436,3.7957032372051804,3853.7032398766146,11561.109719629843,accepted_stationary_single_mode,0.0,0.0,0.03406230617111077,0.004597363595831958,1,0.004597363595831958,86.0,0.0030001957508770643
15,frequency_jitter,656651397,4133.248686770836,10632.146266477517,4087.691973230818,10604.556346814672,0.06123363671631339,8.165446751373398,high,0.35,2656.9997826000317,5518.384163861604,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.02114572175924364,combined,0.998112888592793,0.9223469385061364,4087.691973230818,4174.12917033425,3922.6684075141757,True,4087.691973230818,0.06123363671631339,8.165446751373398,2043.845986615409,6131.537959846227,accepted_stationary_single_mode,0.0,0.0,0.03710535596426414,0.011022011253721528,1,0.011022011253721528,59.0,0.0025949529823375804
25,standard,1071219690,8858.102039517875,13568.029362469311,7581.821997703428,13379.508464534516,0.08982441847153273,5.5664151074739285,high,0.35,4928.184298507228,10235.459696899628,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.03509457112924003,combined,0.9872243024938572,0.9173517310344158,7581.821997703428,7315.741206315788,8706.039686431224,True,7581.821997703428,0.08982441847153273,5.5664151074739285,3790.910998851714,11372.732996555142,accepted_stationary_single_mode,0.0,0.0,0.019742461635005697,0.14408053058326611,1,0.14408053058326611,102.0,0.013894493658472267
28,amplitude_jitter,2028131382,6380.445280688701,34714.161847600735,7746.109320554169,34646.96477110615,0.03556016742503351,14.060676206153401,high,0.35,5034.97105836021,10457.247582748128,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.13863698648189282,combined,0.9900066613920374,0.7063025581959879,7746.109320554169,13207.347316499894,6672.212067393237,True,7746.109320554169,0.03556016742503351,14.060676206153401,3873.0546602770846,11619.163980831254,accepted_stationary_single_mode,0.0,0.0,0.060546308157272716,0.21403898627558784,1,0.21403898627558784,153.0,0.0019357251599387687
29,rising_only,2014311189,9086.011029544017,10528.960042809662,8471.243651598488,10424.424533831303,0.12826640863925837,3.898136739808629,high,0.35,5506.308373539017,11436.178929657959,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.011992296243934893,rising,0.9913738151270881,0.7257960445979452,8471.243651598488,8572.83331502301,8967.898332008566,True,8471.243651598488,0.12826640863925837,3.898136739808629,4235.621825799244,12706.865477397732,accepted_stationary_single_mode,0.009803921568627343,0.0,0.01793299476196988,0.06766086635230303,1,0.06766086635230303,63.0,0.009928379303685102
32,delay_jitter,1263168346,6783.62733209771,12612.759211997736,5856.586392737876,12408.81453410217,0.07490530738345676,6.675094428761769,high,0.35,3806.7811552796193,7906.391630196133,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.12030687457906092,combined,0.9812581140008713,0.7192700610279127,5856.586392737876,8163.053389053899,6561.173997350426,True,5856.586392737876,0.07490530738345676,6.675094428761769,2928.293196368938,8784.879589106815,accepted_stationary_single_mode,0.0,0.0,0.024308004304930755,0.13665858897840777,1,0.13665858897840777,72.0,0.016169711517331296
34,weak_noisy,405417850,6650.844924281646,18588.096137158005,6989.129634450882,18546.376388691224,0.05986933455435978,8.351520920046525,high,0.35,4542.934262393073,9435.32500650869,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.030925033044873193,combined,0.995954320001433,0.7778293063686026,6989.129634450882,7939.815119230464,7205.268699351178,True,6989.129634450882,0.05986933455435978,8.351520920046525,3494.564817225441,10483.694451676323,accepted_stationary_single_mode,0.0,0.0,0.06590143400648008,0.0508634187115367,1,0.0508634187115367,85.0,0.002244433650382442
44,amplitude_jitter,304154267,6982.474683452968,12559.059945901849,6360.861147764965,12471.270201946789,0.08090943456137063,6.179749033108678,high,0.35,4134.559746047227,8587.162549482702,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.02291740054283749,combined,0.99403021518078,0.7530781668643962,6360.861147764965,4629.779818977333,6506.635550485667,True,6360.861147764965,0.08090943456137063,6.179749033108678,3180.4305738824823,9541.291721647447,accepted_stationary_single_mode,0.0,0.0,0.025884412202743803,0.08902481768549761,1,0.08902481768549761,65.0,0.0069901524742468045
49,standard,969969413,5217.366955595396,13630.996488593333,5120.454014568022,13617.942233033493,0.05973664748055104,8.370071322847322,high,0.35,3328.2951094692144,6912.612919666831,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.005079536310692795,combined,0.9995446553756315,0.9382469298033008,5120.454014568022,8265.902947371997,5146.463546662253,True,5120.454014568022,0.05973664748055104,8.370071322847322,2560.227007284011,7680.681021852033,accepted_stationary_single_mode,0.0,0.0,0.07729571638540651,0.018575067050524155,1,0.018575067050524155,67.0,0.0009576890120076272
55,frequency_jitter,1440698860,5674.88686114263,29397.354367263702,5740.520092260577,29209.16794216065,0.031263661521257216,15.993008357643365,high,0.35,3731.3380599693755,7749.70212455178,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.15159752369407534,combined,0.9802215328557268,0.6713006827881939,5740.520092260577,7830.472491297031,6610.768722963366,True,5740.520092260577,0.031263661521257216,15.993008357643365,2870.2600461302886,8610.780138390866,accepted_stationary_single_mode,0.00934579439252336,0.0,0.032215334402016765,0.011565557644391957,1,0.011565557644391957,178.0,0.006401474865799947
63,frequency_jitter,605289037,9646.201869700271,22330.112430716603,9051.644030544596,21841.364509035582,0.06581504592828641,7.59704704217348,high,0.35,5883.568619853988,12219.719441235206,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.06297889747404505,combined,0.9586746236277439,0.8275692692171288,9051.644030544596,11651.061503705552,11080.998942334332,True,9051.644030544596,0.06581504592828641,7.59704704217348,4525.822015272298,13577.466045816895,accepted_stationary_single_mode,0.00990099009900979,0.0,0.018461299352654354,0.06163647072566912,1,0.06163647072566912,182.0,0.021887391888305692
65,standard,1747146250,6500.881467109724,8324.531600643542,6217.388724225043,8309.635012415874,0.11824657501036323,4.2284522824968045,high,0.35,4041.302670746278,8393.474777703808,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.025649500356371927,combined,0.9989272124499277,0.8345451051258842,6653.03086999683,6217.388724225043,6057.91580992733,True,6217.388724225043,0.11824657501036323,4.2284522824968045,3108.6943621125215,9326.083086337565,accepted_stationary_single_mode,0.009615384615384803,0.0,0.021680533061190044,0.043608354393011486,1,0.043608354393011486,78.0,0.0017894806509613534
68,amplitude_jitter,510955901,4400.612352953347,18869.747019217906,3479.4514404181405,18698.61186505407,0.029602689564551452,16.890357172097588,high,0.35,2261.6434362717914,4697.25944456449,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.05710344598993559,combined,0.9933899719111674,0.6834747290859549,3479.4514404181405,4404.650197243415,3678.1401078206613,True,3479.4514404181405,0.029602689564551452,16.890357172097588,1739.7257202090702,5219.1771606272105,accepted_stationary_single_mode,0.009900990099009887,0.0,0.019569473314036596,0.20932562076661793,1,0.20932562076661793,109.0,0.009069287149930693
69,rising_only,1038686500,8941.184955706196,11506.954122369985,8690.89821522899,11437.357146207325,0.12006216543183723,4.16450926236096,high,0.35,5649.0838398988435,11732.712590559137,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.008649977168174651,rising,0.9964307833360164,0.8684113304183733,8690.89821522899,8615.72214409633,8956.476066091638,True,8690.89821522899,0.12006216543183723,4.16450926236096,4345.449107614495,13036.347322843485,accepted_stationary_single_mode,0.0,0.0,0.012567925024417764,0.027992569409659163,1,0.027992569409659163,49.0,0.00604825355368028
