scenario_id,subtype,seed,truth_decay_rate_per_s,truth_frequency_hz,decay_rate_per_s,dominant_frequency_hz,damping_ratio,quality_factor,confidence_tier,uncertainty_fraction,lower_bound_per_s,upper_bound_per_s,estimator_count,estimator_names,estimator_spread_fraction,selected_input_model,impulse_fit_r2,reconstruction_r2,nonlinear_alpha,decrement_alpha,esprit_alpha,classification_unchanged,accepted_decay_rate_per_s,accepted_damping_ratio,accepted_quality_factor,accepted_lower_bound_per_s,accepted_upper_bound_per_s,damping_status,event_frequency_mad_fraction,event_shift_mad_samples,secondary_peak_ratio,accepted_relative_error,truth_inside_final_interval,candidate_relative_error,event_count_stationarity,frequency_relative_error
1,standard,792394621,7672.134886125444,9203.40551642495,7707.406479753229,9231.017534548926,0.13172789566345436,3.7957032372051804,high,0.35,5009.814211839599,10404.99874766686,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.003429999082133567,combined,0.9990365095739345,0.9292110087301004,7707.406479753229,7406.678329713722,7733.842876904413,True,7707.406479753229,0.13172789566345436,3.7957032372051804,3853.7032398766146,11561.109719629843,accepted_stationary_single_mode,0.0,0.0,0.03406230617111077,0.004597363595831958,1,0.004597363595831958,86.0,0.0030001957508770643
2,weak_noisy,1483269034,4032.602275619599,21200.078539641134,3105.5223045570206,21195.277698239046,0.02331297097489077,21.447287887010404,medium,0.55,1397.485037050659,4813.559572063382,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.03874711850996553,combined,0.9979553382409962,0.7627225652530341,3105.5223045570206,,2864.8622230169963,True,,,,,,unresolved,,,,,0,0.22989620788232454,,0.00022645394417341122
3,missing_edges,1991555098,8508.094777088292,35467.1825918879,10541.77343817139,35478.660929881,0.0472369145401661,10.584941985887841,medium,0.55,4743.798047177125,16339.748829165655,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.13004959092358592,combined,0.9736029334838708,0.6196021986348461,10541.77343817139,0.00024230076161149727,7799.866791684764,True,,,,,,unresolved,,,,,0,0.23902867967099448,,0.0003236326416220198
4,amplitude_jitter,232125828,4748.958173631641,23498.03426146927,6134.571030817937,23239.672900275295,0.041975066177557065,11.911833512899534,medium,0.55,2760.5569638680713,9508.585097767802,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.12717931673202607,combined,0.995095325408187,0.6362603672967693,6134.571030817937,0.00010457664437878831,7694.952135104949,True,,,,,,unresolved,,,,,0,0.2917719648237467,,0.010995020192715544
5,rising_only,353569850,8676.175132250257,44629.956154192725,8182.036635183553,44080.570844641086,0.029528740143036147,16.932656035374965,medium,0.55,3681.9164858325985,12682.156784534507,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.07337300405868619,rising,0.9093531090845219,0.5545603818943996,8182.036635183553,10058.604187951805,8782.377242425195,True,,,,,,unresolved,,,,,0,0.05695349500610462,,0.012309788242980992
6,two_mode,523190359,9044.020779058988,24619.246558218787,11203.11068937677,24558.29532231702,0.07241339183510813,6.904800166501597,low,1.0,0.0,22406.22137875354,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.21144156123857066,combined,0.8580804008803873,0.8085810335243053,11203.11068937677,13897.10930310231,8834.307474486426,True,,,,,,unresolved,,,,,0,0.2387311974467213,,0.002475755533689165
7,frequency_jitter,2119403162,5224.092046605501,10146.48583894924,4958.509402487793,10010.967472175253,0.07858686884086248,6.362386075115097,high,0.35,3223.031111617065,6693.98769335852,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.01996977039679395,combined,0.9948905397951141,0.8617991975159927,4958.509402487793,4575.927294063981,5057.529696765818,True,,,,,,candidate_only_nonstationary,0.0196078431372549,0.0,0.015571511377457912,,0,0.05083804836292622,50.0,0.013356187445092975
8,delay_jitter,1610879509,1997.0430512708124,13629.959974136862,1873.6762360174137,13611.785268181922,0.021902586057709245,22.828354546015383,medium,0.55,843.154306207836,2904.198165826991,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.044445293312766976,combined,0.9996702560180263,0.8195326277019723,1873.6762360174137,1426.22233580902,2040.228415783324,True,,,,,,unresolved,,,,,0,0.06177473999616314,,0.001333437955021634
9,standard,896115389,5214.684754924849,26758.540338835148,5549.156832920686,26525.077531059917,0.03327743696272397,15.025195617080715,medium,0.55,2497.1205748143084,8601.193091027064,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.015541140107882491,combined,0.995550959772576,0.8387471916430137,5549.156832920686,5159.790405522133,5376.676385278618,True,,,,,,unresolved,,,,,0,0.06414042146650478,,0.008724796077026765
10,weak_noisy,861141131,6482.695918224684,29204.172137955753,5566.566003986723,28788.735064788914,0.03075950633099827,16.255137342569082,high,0.35,3618.2679025913703,7514.8641053820775,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.043618148974918704,combined,0.968490377778137,0.4055113196693141,5566.566003986723,5809.369309227334,6800.8607339404325,True,,,,,,candidate_only_nonstationary,0.019417475728155418,1.0,0.11389649854613008,,0,0.1413192791694056,138.0,0.014225264500030393
11,missing_edges,897717086,7453.964017470241,24262.404544923622,9797.43085798204,24738.511877194927,0.06290682304507436,7.948263412408176,medium,0.55,4408.843886091918,15186.017829872164,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.05284186813678001,combined,0.996589363770015,0.5049555693251906,9797.43085798204,0.00017315180636335743,10832.859956935454,True,,,,,,unresolved,,,,,0,0.31439202483662326,,0.019623254215787138
12,amplitude_jitter,397144230,4715.667539104731,50856.389730526775,9650.313249117038,48840.87574578768,0.031431381303817715,15.907668682040043,unresolved,1.0,0.0,19300.626498234076,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.3112254996341761,falling,0.7343792681194505,0.4243889537710853,9650.313249117038,,3643.4661239515194,True,,,,,,unresolved,,,,,0,1.046436303893711,,0.03963147984783661
13,rising_only,1453523384,8766.81542051019,35738.13042299813,11353.230912299608,35703.24460486324,0.05054479562820871,9.892215287165062,medium,0.55,5108.953910534823,17597.507914064394,2,"nonlinear_deconvolved_fit,cadzow_esprit",0.12096412786249881,rising,0.9734760384577213,0.8710200886137363,11353.230912299608,0.0004689178636970395,8606.56356084384,True,,,,,,unresolved,,,,,0,0.29502337710206994,,0.0009761511786425682
14,two_mode,1048677271,9944.734334158824,20333.293775828934,11658.168895456918,20162.928234462437,0.09163592222176593,5.456375489842966,medium,0.55,5246.176002955613,18070.161787958223,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.09161377679918546,combined,0.9425616438410471,0.8411067922283506,12728.097040848537,11658.168895456918,10590.120012381321,True,,,,,,unresolved,,,,,0,0.17229565956454734,,0.008378649482211158
15,frequency_jitter,656651397,4133.248686770836,10632.146266477517,4087.691973230818,10604.556346814672,0.06123363671631339,8.165446751373398,high,0.35,2656.9997826000317,5518.384163861604,3,"nonlinear_deconvolved_fit,logarithmic_decrement,cadzow_esprit",0.02114572175924364,combined,0.998112888592793,0.9223469385061364,4087.691973230818,4174.12917033425,3922.6684075141757,True,4087.691973230818,0.06123363671631339,8.165446751373398,2043.845986615409,6131.537959846227,accepted_stationary_single_mode,0.0,0.0,0.03710535596426414,0.011022011253721528,1,0.011022011253721528,59.0,0.0025949529823375804
