frequency_hz,psd_v2_per_hz
0.0,3.543411561961909e-07
19.531249999999442,1.2956619020734645e-07
39.062499999998884,9.167198626351285e-08
58.59374999999832,3.9222898784003704e-08
78.12499999999777,3.8824601741735635e-08
97.65624999999721,2.6414403600148347e-08
117.18749999999665,1.8772229212394995e-08
136.7187499999961,8.438359226987477e-08
156.24999999999554,1.0254155995560727e-07
175.78124999999497,5.187569762609149e-08
195.31249999999443,1.2901410594106608e-07
214.84374999999386,1.1527185404098308e-07
234.3749999999933,1.1570474151625085e-07
253.90624999999275,1.3231397080174604e-07
273.4374999999922,1.2584407327207606e-07
292.96874999999164,1.918917683223526e-07
312.4999999999911,6.579235602413073e-08
332.0312499999905,6.798350066640898e-08
351.56249999998994,5.2676640121936686e-08
371.0937499999894,5.403242896449609e-09
390.62499999998886,4.856617859130668e-08
410.1562499999883,1.1073481597426473e-07
429.6874999999877,1.2447550494279898e-07
449.21874999998715,1.8036195674680757e-07
468.7499999999866,1.455035218612956e-07
488.2812499999861,1.0624353471225384e-07
507.8124999999855,1.40098413569657e-07
527.343749999985,9.282391382456001e-08
546.8749999999844,1.5664090206465042e-07
566.4062499999839,1.0724307798468982e-07
585.9374999999833,1.1138473904171007e-07
605.4687499999827,7.668553767379924e-08
624.9999999999822,6.314706438851692e-08
644.5312499999816,1.4567012517705208e-07
664.062499999981,7.593225228305219e-08
683.5937499999804,3.141886181160478e-08
703.1249999999799,9.417530028239145e-08
722.6562499999793,9.17958082973195e-08
742.1874999999789,1.0177966851702737e-08
761.7187499999783,7.237250938055765e-08
781.2499999999777,2.0143653149577995e-08
800.7812499999771,3.0848176413719045e-08
820.3124999999766,1.7663961550336066e-07
839.843749999976,7.96440403381439e-08
859.3749999999754,1.3490145058471282e-07
878.9062499999749,2.2713368450658676e-07
898.4374999999743,7.63496972333415e-08
917.9687499999737,6.046802029977611e-07
937.4999999999732,9.257603796337558e-07
957.0312499999727,1.716450506419534e-05
976.5624999999721,0.004194952663399566
996.0937499999716,0.03173445648209289
1015.624999999971,0.014092534597288386
1035.1562499999704,7.059316476686493e-05
1054.68749999997,3.344946752657191e-06
1074.2187499999693,6.474802216663294e-07
1093.7499999999688,1.2315107796583628e-07
1113.2812499999682,2.216390024041973e-07
1132.8124999999677,1.0891616312866365e-07
1152.343749999967,1.825913180815983e-07
1171.8749999999666,2.8230794856978854e-07
1191.406249999966,1.6933015874541442e-07
1210.9374999999654,2.8269020687233068e-08
1230.4687499999648,3.790610731549944e-08
1249.9999999999643,3.0819521306572653e-08
1269.5312499999638,1.1092563098877744e-07
1289.0624999999632,1.523841264718297e-07
1308.5937499999627,2.7475894264813687e-08
1328.124999999962,3.507717080958387e-08
1347.6562499999616,7.598798853104242e-08
1367.187499999961,1.5368811866022385e-07
1386.7187499999604,5.7255968700921236e-08
1406.2499999999598,1.6914082737755628e-07
1425.7812499999593,3.150806571400575e-07
1445.3124999999586,7.712515399017053e-08
1464.8437499999582,1.5950430635839707e-08
1484.3749999999577,7.823561423202124e-08
1503.906249999957,7.901171873188112e-08
1523.4374999999566,5.7686010238193064e-08
1542.968749999956,1.156597265769029e-08
1562.4999999999554,2.4050662544892503e-08
1582.0312499999548,2.0040120005312506e-08
1601.5624999999543,6.743644156310113e-08
1621.0937499999536,1.3403091445806774e-07
1640.6249999999532,1.1093111791689042e-07
1660.1562499999525,1.242596044300942e-07
1679.687499999952,9.475262886558674e-08
1699.2187499999516,9.849383637185862e-08
1718.749999999951,1.599059772128993e-07
1738.2812499999504,2.7368457895902985e-07
1757.8124999999498,2.6362765378085897e-07
1777.3437499999493,7.680456149530792e-08
1796.8749999999486,3.8894992569988325e-08
1816.4062499999482,4.423747267622201e-08
1835.9374999999475,3.005139862656673e-08
1855.468749999947,8.076914726279035e-08
1874.9999999999463,1.0228030739739753e-07
1894.5312499999459,2.9413455654550013e-07
1914.0624999999454,1.8348224670397175e-07
1933.5937499999447,1.3804059055289737e-07
1953.1249999999443,3.0204510179222992e-06
1972.6562499999436,0.00017124426861395473
1992.1874999999432,0.0027988064773612734
2011.7187499999425,0.002136334825248615
2031.249999999942,4.5874709243836555e-05
2050.7812499999413,2.098120342605557e-06
2070.312499999941,2.3993824776178094e-07
2089.8437499999404,8.386775233101234e-08
2109.37499999994,7.526697054287745e-08
2128.906249999939,1.3406680348675932e-07
2148.4374999999386,1.4793855782936532e-07
2167.968749999938,1.7263670598038645e-07
2187.4999999999377,7.729871497827184e-08
2207.031249999937,2.2361268726368713e-08
2226.5624999999363,8.023299630998965e-08
2246.093749999936,7.701818800324628e-08
2265.6249999999354,9.846022389837687e-08
2285.1562499999345,8.889667208329908e-08
2304.687499999934,5.260418932492288e-08
2324.2187499999336,5.836195820026933e-08
2343.749999999933,1.094129135115084e-07
2363.2812499999327,1.536801076855445e-07
2382.812499999932,8.690336628006174e-08
2402.3437499999313,6.644044008563745e-08
2421.874999999931,2.2724580283370355e-08
2441.4062499999304,1.5569738210754868e-07
2460.9374999999295,9.28420976102149e-08
2480.468749999929,7.271289658813138e-08
2499.9999999999286,5.669558672653325e-08
2519.531249999928,1.241004946279683e-07
2539.0624999999277,1.9901373951585904e-07
2558.593749999927,1.722519219829032e-07
2578.1249999999263,1.1188092295306408e-07
2597.656249999926,5.6794414701020076e-08
2617.1874999999254,7.694906335847394e-08
2636.7187499999245,1.0380605323063907e-07
2656.249999999924,5.795085684692108e-08
2675.7812499999236,6.22351573867825e-08
2695.312499999923,7.180810951085403e-08
2714.8437499999227,8.472032975759963e-08
2734.374999999922,6.266829577904875e-08
2753.9062499999213,1.2703467245231964e-07
2773.437499999921,1.1734829929115828e-07
2792.9687499999204,8.880018119313195e-08
2812.4999999999195,3.978737460665722e-08
2832.031249999919,3.405127697629881e-08
2851.5624999999186,7.251517390598306e-08
2871.093749999918,2.276486133019306e-07
2890.6249999999172,2.0616154739697926e-07
2910.156249999917,1.442062977025158e-07
2929.6874999999163,2.3441241416200755e-08
2949.218749999916,4.93301188015318e-07
2968.7499999999154,1.5730930510928e-05
2988.2812499999145,0.000664031004022561
3007.812499999914,0.0008667917140176806
3027.3437499999136,5.5395135218771775e-05
3046.874999999913,5.093552057467308e-07
3066.4062499999122,2.1931924749185888e-07
3085.937499999912,6.413877540399281e-08
3105.4687499999113,3.814151368685471e-08
3124.999999999911,3.338648757550932e-08
3144.5312499999104,5.028455347532094e-08
3164.0624999999095,7.370630730990776e-08
3183.593749999909,8.660011829779167e-09
3203.1249999999086,3.361046114811971e-08
3222.656249999908,4.40919123659162e-08
3242.1874999999072,5.388990841188728e-08
3261.718749999907,1.7735612689649228e-07
3281.2499999999063,1.2630073383565271e-07
3300.781249999906,8.269684812385229e-08
3320.312499999905,5.584782165161309e-08
3339.8437499999045,8.321083143721317e-08
3359.374999999904,4.956837049809983e-08
3378.9062499999036,4.5282769719512954e-09
3398.437499999903,4.801169780490749e-08
3417.9687499999022,8.978720092463983e-08
3437.499999999902,6.124247838456333e-08
3457.0312499999013,7.916600664796237e-08
3476.562499999901,4.219606299731093e-08
3496.0937499999,6.419384512935982e-08
3515.6249999998995,1.1397611086779571e-07
3535.156249999899,3.961388688193082e-08
3554.6874999998986,9.623287277320041e-09
3574.218749999898,1.4274929243690824e-08
3593.749999999897,1.6102935201424605e-08
3613.2812499998968,7.686602090356659e-08
3632.8124999998963,7.757594611783081e-08
3652.343749999896,9.080888221362769e-08
3671.874999999895,5.0286441456546354e-08
3691.4062499998945,1.7674136003409577e-07
3710.937499999894,1.0592882956373135e-07
3730.4687499998936,3.216509176969467e-08
3749.9999999998927,2.3344855666271436e-08
3769.531249999892,8.657714293436906e-09
3789.0624999998918,3.631596611921491e-08
3808.5937499998913,4.914167225653448e-08
3828.124999999891,6.271768770154909e-08
3847.65624999989,5.8719543837776865e-08
3867.1874999998895,1.64656826504412e-07
3886.718749999889,1.0033025213096798e-07
3906.2499999998886,7.733410087248212e-08
3925.7812499998877,2.8238872838428556e-08
3945.312499999887,9.018896401242861e-08
3964.8437499998868,3.583428152482326e-07
3984.3749999998863,0.00010448724169384468
4003.906249999886,0.00024127495635995714
4023.437499999885,3.1423199100569447e-05
4042.9687499998845,3.042996186794193e-07
4062.499999999884,3.1526724860472256e-08
4082.0312499998836,2.495499677132012e-08
4101.562499999883,3.653468627868267e-08
4121.093749999883,4.5726907269785125e-08
4140.624999999882,1.4899356022473684e-08
4160.156249999881,5.6786250207399554e-08
4179.687499999881,2.524901427373515e-08
4199.21874999988,5.656642593095156e-08
4218.74999999988,5.226180362928525e-08
4238.281249999879,3.467338715304827e-08
4257.812499999878,8.331312977581332e-09
4277.343749999878,2.2755264661849256e-08
4296.874999999877,3.073865690211737e-08
4316.406249999876,1.480196168573316e-07
4335.937499999876,1.2275321589787205e-07
4355.468749999875,1.2266470952807784e-07
4374.999999999875,4.380107832016597e-08
4394.5312499998745,3.561924815377794e-08
4414.062499999874,4.390640439016759e-08
4433.593749999874,4.594379384078704e-08
4453.124999999873,5.083319106515685e-08
4472.656249999873,1.8245472183022114e-07
4492.187499999872,8.449515884722779e-08
4511.718749999871,1.003109350856294e-07
4531.249999999871,7.288666806616834e-08
4550.78124999987,4.568782398098996e-08
4570.312499999869,1.5781573282126234e-07
4589.843749999869,1.4178035116320794e-07
4609.374999999868,5.831701461844849e-08
4628.906249999868,4.2295099441260316e-08
4648.437499999867,1.4457097187393263e-07
4667.968749999866,1.8226549608966476e-07
4687.499999999866,1.5828701971829763e-07
4707.031249999865,3.5603901191355765e-08
4726.562499999865,7.159422046484618e-08
4746.0937499998645,7.095844243581981e-08
4765.624999999864,1.879331175635981e-07
4785.156249999864,2.407297235152959e-07
4804.687499999863,4.543884754794147e-08
4824.218749999863,1.6269769073876266e-07
4843.749999999862,2.0613432030221906e-07
4863.281249999861,2.2686945275340348e-07
4882.812499999861,2.405979012566718e-07
4902.34374999986,7.761064873165695e-08
4921.874999999859,1.1989329723762458e-07
4941.406249999859,8.06569129820453e-08
4960.937499999858,4.135770610579531e-08
4980.468749999858,1.671695991869616e-07
4999.999999999857,3.1404633030250163e-07
5019.531249999856,2.7329777360652447e-07
5039.062499999856,1.5135949770808564e-07
5058.593749999855,8.47417497503214e-08
5078.124999999855,7.682530320066408e-08
5097.6562499998545,5.384026867886633e-08
5117.187499999854,3.8879630721910566e-08
5136.718749999854,9.531167701903735e-08
5156.249999999853,5.4164032647829186e-08
5175.781249999852,1.6220782504297754e-08
5195.312499999852,2.4131056526776722e-08
5214.843749999851,3.909085262833545e-08
5234.374999999851,3.1742240582842436e-08
5253.90624999985,8.470915695204624e-08
5273.437499999849,6.105992654421416e-08
5292.968749999849,4.9446089855238457e-08
5312.499999999848,2.6900383457130667e-08
5332.031249999848,5.741082118002159e-08
5351.562499999847,1.0600119969385911e-07
5371.093749999846,6.766089392951587e-08
5390.624999999846,6.841913955739945e-08
5410.156249999845,1.2179852305740674e-07
5429.687499999845,7.516982328128021e-08
5449.2187499998445,1.0689238570540742e-07
5468.749999999844,2.8218896847432955e-08
5488.281249999844,5.2185627847465925e-08
5507.812499999843,2.3130218925409785e-08
5527.343749999842,6.977582583180526e-08
5546.874999999842,5.178072130215213e-08
5566.406249999841,9.176964248994405e-08
5585.937499999841,1.0154644103964288e-07
5605.46874999984,1.201747497099971e-07
5624.999999999839,7.630048222117232e-08
5644.531249999839,1.2926450043448708e-07
5664.062499999838,1.0958392603240141e-07
5683.593749999838,4.2661832539408965e-08
5703.124999999837,1.2911891102639246e-07
5722.656249999836,1.122993959669672e-07
5742.187499999836,7.109348111847077e-09
5761.718749999835,2.0116908181527815e-07
5781.2499999998345,4.6515672540503405e-07
5800.7812499998345,7.568427273153259e-08
5820.312499999834,1.5415849040046476e-07
5839.843749999834,1.402265757062514e-07
5859.374999999833,1.6987173303825504e-07
5878.906249999832,1.4360899053878105e-07
5898.437499999832,9.085797943319592e-08
5917.968749999831,4.1238088982336895e-08
5937.499999999831,2.8592069635059664e-08
5957.03124999983,1.2385965593954797e-07
5976.562499999829,1.0738906490333647e-07
5996.093749999829,1.50329283876394e-08
6015.624999999828,6.772523603474208e-08
6035.156249999827,1.0015845818949736e-07
6054.687499999827,1.2922701689825962e-07
6074.218749999826,8.12388562312958e-08
6093.749999999826,5.21387274172594e-08
6113.281249999825,7.245773708212085e-08
6132.8124999998245,9.877892122496915e-08
6152.3437499998245,1.5436768305756408e-08
6171.874999999824,1.423783274215047e-08
6191.406249999824,6.88106106684069e-08
6210.937499999823,9.996287089489399e-08
6230.468749999822,3.411867041604025e-08
6249.999999999822,3.605484442451105e-08
6269.531249999821,9.151909758234102e-08
6289.062499999821,2.0845078184887621e-07
6308.59374999982,1.2248630346625412e-07
6328.124999999819,1.1263084935778078e-07
6347.656249999819,8.224472288434745e-08
6367.187499999818,5.991790010685672e-08
6386.718749999817,2.374501060196621e-08
6406.249999999817,8.84038135740031e-08
6425.781249999816,1.2029398057830183e-07
6445.312499999816,3.301695201380506e-08
6464.843749999815,2.9298836502328102e-08
6484.3749999998145,2.396457393139564e-07
6503.9062499998145,1.362834830746745e-07
6523.437499999814,7.591288171234516e-08
6542.968749999814,9.188801015667729e-08
6562.499999999813,2.0179031258475745e-08
6582.031249999812,1.42095553500893e-08
6601.562499999812,1.2444202251606477e-07
6621.093749999811,1.794180275115055e-07
6640.62499999981,5.120097082218339e-08
6660.15624999981,3.127243644002832e-08
6679.687499999809,2.2918797756683036e-08
6699.218749999809,8.016114312193321e-08
6718.749999999808,3.116643044065365e-08
6738.281249999807,2.0809243888650547e-08
6757.812499999807,7.198697913476769e-08
