frequency_hz,coherence,csd_magnitude,csd_phase_radians
0.0,0.4182515901079956,2.047340035036082e-07,0.0
19.531249999999442,0.012751215092613975,4.326835155495732e-08,1.9550935631563857
39.062499999998884,0.9575923353909891,3.293196360953358e-07,-2.1932161886752084
58.59374999999832,0.4163872768889039,1.0288400090434074e-07,3.016221859220655
78.12499999999777,0.6455700071214762,1.281494212971837e-07,1.8936290484517586
97.65624999999721,0.9554277472902512,8.07724504730028e-08,2.2520946882888535
117.18749999999665,0.4442985635152779,2.8313685063594145e-08,-2.671402187158369
136.7187499999961,0.47510640336370547,1.0102692581513655e-07,2.7007731519914855
156.24999999999554,0.3374171697681336,8.40188568845815e-08,1.512229774919759
175.78124999999497,0.018795766740840783,1.208450186504374e-08,0.7192955254094329
195.31249999999443,0.5523147355264102,9.108138244308593e-08,-1.5463062338948623
214.84374999999386,0.11890161703482681,4.527219278228592e-08,1.0768893537479878
234.3749999999933,0.5725650255661205,9.501303032769291e-08,-2.9753467486670404
253.90624999999275,0.8447646773843136,6.761543218510553e-08,-2.4919478438367144
273.4374999999922,0.8074912084850043,1.349556504489664e-07,-1.3685104169583162
292.96874999999164,0.9451148833211385,1.6785785388844573e-07,-0.7822690506242809
312.4999999999911,0.44177386088100656,8.373025072676348e-08,-1.8434087221151578
332.0312499999905,0.3523171884160374,6.505944928691807e-08,2.127820507065693
351.56249999998994,0.972337677763159,7.09435849817851e-08,0.06290497832351
371.0937499999894,0.682957722584966,3.032538229802822e-08,1.15569231736294
390.62499999998886,0.3488822145092241,1.0541199903408846e-07,-1.3666362337836593
410.1562499999883,0.9748546623286665,2.1545895204704157e-07,-1.920597162372755
429.6874999999877,0.07007212234272829,2.0586435414967598e-08,2.526737403080466
449.21874999998715,0.9927452220572291,1.6346148654449223e-07,0.8623669431457721
468.7499999999866,0.04386208570762241,2.4824908413819077e-08,2.8114602947686484
488.2812499999861,0.32471514554958153,8.232008876688824e-08,-1.551931785662195
507.8124999999855,0.07190094057017773,5.136177234586427e-08,-2.0559536565072842
527.343749999985,0.636541839602623,1.3899096878564762e-07,1.877192982968245
546.8749999999844,0.8413266948881643,9.589720513862804e-08,1.8094345746674356
566.4062499999839,0.3650282280027815,1.0438063902160233e-07,-1.980395275233268
585.9374999999833,0.22188169120831708,4.5976828561944574e-08,-2.78927785613873
605.4687499999827,0.12965595786470158,5.640537196893056e-08,0.2258047133407625
624.9999999999822,0.5844073926351809,9.627871743371152e-08,-1.4214141825947928
644.5312499999816,0.40824629612043956,8.60766811969001e-08,-0.7804818083421191
664.062499999981,0.10214193544410632,2.3470272264341065e-08,-2.0473366763717054
683.5937499999804,0.4415018146711843,4.9419778073426286e-08,-2.336676392496716
703.1249999999799,0.7764845531674388,8.969715773231737e-08,-3.1350316227351973
722.6562499999793,0.3036136530703107,1.0641242286973074e-07,2.264867753165644
742.1874999999789,0.15089406766289992,2.6065427848459085e-08,2.703512692961256
761.7187499999783,0.997235334499384,1.372710662426275e-07,-3.0305561504203906
781.2499999999777,0.8376792956557757,2.6678127085454897e-08,2.814589849528555
800.7812499999771,0.4203898324259031,2.2935749127069888e-08,2.991313948594066
820.3124999999766,0.5366326367831793,7.47518920296876e-08,2.149718237836494
839.843749999976,0.7929357094757232,5.121913773589893e-08,-0.20521132201123388
859.3749999999754,0.7858134739327564,9.72362427420604e-08,-2.603891422026032
878.9062499999749,0.9589673479942258,1.7430842731505273e-07,-1.6316722843623588
898.4374999999743,0.6830609841038121,1.9491618042059825e-07,0.5529108386234736
917.9687499999737,0.5725492507551215,1.491018856048246e-06,-2.8740281020160556
937.4999999999732,0.202340006413783,8.509113339901196e-06,0.8488757868431853
957.0312499999727,0.41230541323578423,5.91814424069681e-05,-2.8587690373517325
976.5624999999721,0.9925583655373592,0.0034212541584097314,1.512811116745184
996.0937499999716,0.9999399788081358,0.02482803262380115,1.5741242638214374
1015.624999999971,0.9998909446050684,0.011102497375258496,1.577444627135282
1035.1562499999704,0.5841641587271602,0.00012755026569641106,2.2038120653484525
1054.68749999997,0.4401489046147867,2.846890716466505e-05,-0.28692826296753626
1074.2187499999693,0.39237130608853543,4.1449019793328615e-06,2.197291972407767
1093.7499999999688,0.9702757118439175,2.5887316998293626e-07,3.049810750105152
1113.2812499999682,0.748693891175309,2.1521272699075334e-07,2.528527269355421
1132.8124999999677,0.651298933826186,1.5416887418502453e-07,2.2789890396252934
1152.343749999967,0.20165577146598712,8.292011333081312e-08,2.997373465020275
1171.8749999999666,0.8259623104272493,1.2482882817150474e-07,-1.4113042695672078
1191.406249999966,0.132146433654315,4.296137197636736e-08,-1.952921772967116
1210.9374999999654,0.07150578226276845,1.4136854172112925e-08,-1.4193861348363863
1230.4687499999648,0.6681365345821315,8.328323737451504e-08,-1.9029441128290159
1249.9999999999643,0.7990073462285557,7.119562888791185e-08,-1.0683846487422513
1269.5312499999638,0.22395517852553246,5.328354711279553e-08,-2.4540127166609165
1289.0624999999632,0.026684765551919173,2.3045286935164562e-08,2.134976137527412
1308.5937499999627,0.18668815544001446,2.761227006906765e-08,-0.8627449985283726
1328.124999999962,0.7360069161612828,9.1538876112016e-08,0.7861998998623992
1347.6562499999616,0.970050663757689,1.3787131450555866e-07,0.30471919259060354
1367.187499999961,0.9035524139365213,2.3058284804120114e-07,0.557687829407739
1386.7187499999604,0.3935250314534477,8.543505906090522e-08,1.0980214200790381
1406.2499999999598,0.4767665759513146,1.533606624891314e-07,-2.1303716082129083
1425.7812499999593,0.3291835402798957,1.3581713178958334e-07,-0.41266007224432555
1445.3124999999586,0.007142824089381475,8.71619940772892e-09,0.7475192791014167
1464.8437499999582,0.7166161270618965,2.8436700099156607e-08,-2.21199968415368
1484.3749999999577,0.6073418806416441,6.900052936389434e-08,-2.5385657109754916
1503.906249999957,0.5890320549106407,4.419648824026481e-08,0.05678020300034501
1523.4374999999566,0.5634331878544354,9.850098822474398e-08,0.10917294476513273
1542.968749999956,0.5978494759684193,4.686103454683412e-08,-1.7710871173059748
1562.4999999999554,0.6310333968583373,8.630149962035625e-08,1.7157334300015707
1582.0312499999548,0.24672649789921697,3.7281660727580894e-08,0.7683416835944044
1601.5624999999543,0.40711265110034894,6.282286032759246e-08,-0.7688623310373248
1621.0937499999536,0.6975110407928533,8.480785322761243e-08,-1.8966550500800976
1640.6249999999532,0.12737866497643513,4.641419019326628e-08,-0.8188143974949488
1660.1562499999525,0.9071389000176631,1.0974053710388533e-07,-1.1391313483242704
1679.687499999952,0.9560430067493448,1.0061407086510377e-07,-1.4607988301781254
1699.2187499999516,0.8268873657654522,5.366110082413961e-08,-0.9790573436620157
1718.749999999951,0.7962584785952512,8.304129007362781e-08,0.04985419718242983
1738.2812499999504,0.7965514732703993,1.6872837523580713e-07,-0.42947893097314654
1757.8124999999498,0.5310286241858302,4.7137133089335877e-08,-0.7117583465098193
1777.3437499999493,0.17516143480716148,5.152319226785956e-08,2.766687074042709
1796.8749999999486,0.7565284606166452,1.0071513685078655e-07,-0.4693305141851743
1816.4062499999482,0.9877407725321274,9.802493015279507e-08,-1.8318960127702062
1835.9374999999475,0.6758384054524975,2.9327348023044726e-08,-0.8480218200387203
1855.468749999947,0.44886747007301653,4.265742839249461e-08,-1.1258415798287371
1874.9999999999463,0.3345840828074275,9.913078152734286e-08,-1.4740511195787642
1894.5312499999459,0.015881141272435378,2.1345661839948227e-08,-0.9789933267422225
1914.0624999999454,0.7421550121425831,1.6135674203782012e-07,2.739370970834263
1933.5937499999447,0.25777589474272283,1.4323814015545657e-07,-0.7214951460657473
1953.1249999999443,0.14748242352228993,3.7737336662754467e-07,-2.62496601644826
1972.6562499999436,0.9920248311148152,5.964539906980582e-06,1.0094385444848029
1992.1874999999432,0.798740839654206,3.7007684307635744e-05,1.0953760289281236
2011.7187499999425,0.650033330811158,1.833145905021683e-05,1.5649056699145605
2031.249999999942,0.7781106167782351,1.851252516489025e-06,2.6612937416803613
2050.7812499999413,0.33363844830740563,3.8263831868952466e-07,-0.7814150947765425
2070.312499999941,0.7143895722543465,1.8453841094670132e-07,1.446758459066011
2089.8437499999404,0.03614584671629846,2.6934676369509582e-08,-1.0301872967039671
2109.37499999994,0.6874110767666949,7.503390018102687e-08,1.3542304437608208
2128.906249999939,0.08741902321331292,4.84586276419489e-08,-2.0788386382075705
2148.4374999999386,0.026211390051396645,3.784149327532088e-08,-2.462160842836424
2167.968749999938,0.16162578894240415,8.288666225235331e-08,2.6847957891200545
2187.4999999999377,0.1648022924590826,4.857661030179767e-08,2.0410785623308
2207.031249999937,0.8824213342441737,5.669154184159236e-08,1.319628032503299
2226.5624999999363,0.24598854844730075,6.661780543085367e-08,2.1783053429162327
2246.093749999936,0.45699396905671896,7.050271263437341e-08,0.6816507779598234
2265.6249999999354,0.3850879125141544,4.4262596032494375e-08,0.7707157157351392
2285.1562499999345,0.4196648689267448,4.63460933351265e-08,-0.47385782255761855
2304.687499999934,0.41931791453711226,5.476868881366413e-08,-0.45413409511559616
2324.2187499999336,0.4568567737741954,7.493064357939379e-08,-1.437809534179386
2343.749999999933,0.5077793929621924,7.56512500015917e-08,-0.9166227562692992
2363.2812499999327,0.8048185558223245,6.033870865374488e-08,-2.088311905768834
2382.812499999932,0.8235610816412052,8.003205319126529e-08,-2.085787687088729
2402.3437499999313,0.7869092451307459,9.550684155854725e-08,-2.2232781228108194
2421.874999999931,0.634124364702011,5.4389254705246726e-08,-1.4059959201308656
2441.4062499999304,0.49761943618522225,1.1608720714637293e-07,-1.2791321856346078
2460.9374999999295,0.4062036112583342,6.28745396117479e-08,-3.09477135008112
2480.468749999929,0.2946168928718977,2.881717091568497e-06,-0.1921380816762519
2499.9999999999286,0.6496096530509878,7.527405968784989e-06,0.24822406965519364
2519.531249999928,0.7902977874227907,6.1275283559025685e-06,0.6935770392928823
2539.0624999999277,0.12030386235082113,3.067884438166879e-08,1.7806952371461526
2558.593749999927,0.44704224018112415,1.0840688375616135e-07,1.4384185230174453
2578.1249999999263,0.6265690668992322,1.2356374566879414e-07,1.2293312390924784
2597.656249999926,0.725362922344634,6.68245894020857e-08,0.014500772754596396
