capture_index,residual_rms,vector_roughness_rms,spectral_flatness,crest_factor,peak_count
0,0.05820167359674746,0.03251333225660144,0.05835339699732631,2.707678233176516,5
1,0.06371777663433179,0.032403826210202144,0.04775390303381819,2.5404856171760457,2
2,0.061485291590552237,0.032458644289144696,0.05509841470527913,2.7058374873626665,2
3,0.06884132809230094,0.03193721070341861,0.04204651271963237,2.6889506765579183,2
4,0.060792816008618626,0.030899941908251242,0.05113342590532423,2.5397985099785387,3
5,0.062301766606738154,0.030946065504560753,0.05161259058853275,2.602091332160868,2
6,0.05352311274673663,0.030109072474846885,0.07103675984257597,2.8254843499480207,2
7,0.07343240455886992,0.030766542690685073,0.03833468017293152,2.5719364797599344,2
8,0.05852575233525842,0.02944884155149045,0.05836933236620852,2.7533303864875287,2
9,0.04913482847353187,0.028836433435539596,0.09281112633110346,5.286326665382688,2
10,0.07008897204805656,0.029636411946600997,0.04765463448577168,3.2711204633949724,2
11,0.04817654982711751,0.0280668151987464,0.07935983578566323,2.7957592694433893,2
12,0.06979301025578677,0.02833620264677437,0.04078788291280286,2.356426572759279,3
13,0.04658694403569957,0.02792331657197636,0.09383365317399575,2.841594446469509,2
14,0.04333447478144026,0.02793372780448559,0.10209597159473041,3.226283350565501,4
15,0.04210973974464736,0.027334740289371964,0.11171564198729216,3.018789902499896,2
16,0.04198530295427377,0.02679731085626519,0.10916227853389038,3.0126215274254817,3
17,0.0666790517594577,0.027731068233768707,0.04480722731834867,2.294842083709728,3
18,0.04107669821802186,0.02741359225393047,0.12592455406644265,2.760792112144349,2
19,0.05184185530633204,0.026656357140659816,0.08079816248370647,2.6844088602318843,2
20,0.05517357488051905,0.026842142311637174,0.06630587429374528,2.787710994770464,2
21,0.0455876982134969,0.026654748100066683,0.09633157958051916,2.569677707601393,2
22,0.05085258853689167,0.026448803778938514,0.0748437524995583,2.6694013659747293,4
23,0.05982196376565792,0.026389927808791024,0.05329877647478246,2.6672118116305734,1
24,0.05579235853352113,0.02660287084330418,0.059990150374323065,2.6326243760530326,1
25,0.04233641583414333,0.026705561065696215,0.11293421287384389,2.7497554503801545,2
26,0.057889431338917836,0.026773832601579263,0.055186925874969345,2.41627468949414,3
27,0.04103923169700468,0.026933361366123707,0.136465239243316,6.878285557774309,2
28,0.05334568710058917,0.02729417966235337,0.07005892464122702,2.6213485301946196,3
29,0.05845475364967788,0.026991562254717612,0.058785953312773455,2.4852307299038494,2
30,0.06801967369651311,0.028116683088825492,0.044370951637164244,2.4855876795469483,2
31,0.043071247977795005,0.02688986932274686,0.10443827894350133,2.73421702354614,2
32,0.05946413183345541,0.027809040176855253,0.05734896118015414,2.4828637095212898,3
33,0.06914101849306785,0.028134569759770293,0.04223443951396365,2.3703512646391856,2
34,0.06303981846479244,0.028097028725079232,0.050491364768832384,2.416737802742976,3
35,0.05396682150415887,0.028819950281962704,0.06873255486340049,2.826374006608675,3
36,0.06112790187718226,0.028968121888307524,0.05451900831686222,2.482864752312014,2
37,0.06895497353789029,0.028996047994715078,0.04399486942750219,2.403369619433091,3
38,0.055060431969380826,0.029194845314060025,0.06654248780767172,2.6505675060198772,2
39,0.05156663488709528,0.029717835653473662,0.07318525182948805,2.551418759967862,4
40,0.05013968034565166,0.030080514205050143,0.07335495684257441,3.0382107688543893,2
41,0.05162388689912845,0.030333348357580763,0.08506306935049188,6.396012432903564,2
42,0.05441385313627461,0.03117764749609654,0.06952413310275989,2.6999042655988528,2
43,0.05858858659696792,0.03104558590694523,0.054360551709075215,2.5492771802817487,4
44,0.05846429456968588,0.03172778731063695,0.05542474721840501,2.7586442553760158,2
45,0.07475273938943375,0.03266041856415642,0.03567723869574714,2.4423995456905194,2
46,0.06647446515906026,0.03323096631079111,0.045895558515056264,2.7686500307888253,3
47,0.07904193279292156,0.03357708528515139,0.032897811098539724,2.480801135866278,4
