capture_index,frequency_hz,amplitude,phase_rad,prominence,local_floor
0,7.0,0.0015417878312481018,-2.4635453311452356,0.0014321470919824418,0.00036987588574899686
0,60.0,0.050985226540452226,-0.9206178163058129,0.05082873237748785,0.0007288731853155178
0,70.0,0.002506651015281905,1.2710470025939387,0.0022488341584755937,0.0005843399003456806
0,310.0,0.05893573087073986,1.8744749293728282,0.05894503539056015,0.0006619650009036958
0,381.0,0.0018032362589692568,2.193050810020074,0.0018879875437358621,0.0003897599325927738
1,60.0,0.06527964689068913,1.0297289456877055,0.06511212699368993,0.0007215481303444562
1,310.0,0.05676919148169288,1.8674018984072929,0.0567356003142665,0.0007417154081061945
2,60.0,0.06185036560835263,0.8795591014255206,0.06161870224967652,0.0007819707881562072
2,310.0,0.05487456482667738,1.8897775005106914,0.05503762236006902,0.000602248858161553
3,60.0,0.07813503079827178,-2.520919354783819,0.07799318017259939,0.0006725645005999923
3,310.0,0.052133876304541596,1.87260645609661,0.05211311096533773,0.0006729048090191205
4,60.0,0.06595174022933542,-1.92389376003774,0.06582907627680315,0.0006089541164849405
4,180.0,0.002335940277466346,-1.33537481200217,0.002243942968572261,0.0005045531668752079
4,310.0,0.04957133729957543,1.873015650980797,0.04949550322221948,0.0006416489927747218
5,60.0,0.06976203022453883,-2.109134178139401,0.06975584656655373,0.0006470746117268418
5,310.0,0.04734671058957933,1.859349742615849,0.04739367382310287,0.000584705301573794
6,60.0,0.05588000736719889,-1.3792517355497598,0.05589754695169459,0.0005216249091260065
6,310.0,0.04439673290294273,1.875334044252146,0.04435118895568836,0.0006284417893977813
7,60.0,0.09113636167149244,2.603528834831274,0.09089193208311915,0.0007306080243057392
7,310.0,0.0422282447473305,1.8733473510435577,0.04216961677974337,0.000741699161235393
8,60.0,0.06778682718520516,1.1930490553113247,0.0674369409350589,0.000992985043205488
8,310.0,0.03935841870298629,1.876492457189594,0.03936205447117112,0.0006353473762155344
9,60.0,0.05216156408001416,-1.0092189061274393,0.05180768781583827,0.0012351393515411591
