time_s,vector_median_delta_y,vector_mad_delta_y
0.0001220703125,0.005119359920976058,0.017347472974424783
0.0003662109375,-0.004720637031247324,0.018555597578389926
0.0006103515625,0.00782848822233534,0.018281940031519436
0.0008544921875,0.0003053943134940437,0.01489226938391449
0.0010986328125,-0.007973184583462595,0.02602825517405079
0.0013427734375,-0.006138731838033599,0.0209975269989928
0.0015869140625,-0.002024241518394407,0.029054980786457227
0.0018310546875,0.0038241954481392157,0.011695792412530623
0.0020751953125,-0.0005062180976390385,0.02008175177499407
0.0023193359375,-0.005696351091702884,0.0228532313719401
0.0025634765625,-0.005442273722103735,0.020346794612322146
0.0028076171875,-0.003038031160754018,0.02215644257216784
0.0030517578125,-0.0025187618375657203,0.020997781215860323
0.0032958984375,0.007402939328943078,0.022718379457607782
0.0035400390625,0.003963943687256166,0.01501527764849512
0.0037841796875,0.013882420445826122,0.016663457998463426
0.0040283203125,-0.008603458530304555,0.022476739507133407
0.0042724609375,-0.017456245127690704,0.019651584406265125
0.0045166015625,0.01115649191885094,0.016764762514359533
0.0047607421875,0.008557763864335214,0.01857180077742176
0.0050048828125,-0.0045672911256275945,0.01894828930296439
0.0052490234375,0.002736959439007605,0.01905154229611883
0.0054931640625,0.00010009846694368496,0.021108433836552896
0.0057373046875,-0.008565703120863022,0.017893372868866417
0.0059814453125,-0.0005187669502541292,0.01955072331801416
0.0062255859375,0.01287896043315103,0.017134235528152818
0.0064697265625,-0.005345589891857634,0.01744353488835953
0.0067138671875,0.00578096569033738,0.023167044316333436
0.0069580078125,-0.012228926932111236,0.015849167523301993
0.0072021484375,0.006487307540399251,0.0176087144326127
0.0074462890625,0.004023930988217376,0.015528688490060606
0.0076904296875,0.011048777405681647,0.023161411775493745
0.0079345703125,-0.003386730000197416,0.01925149106553632
0.0081787109375,-0.007515193514936274,0.02218233167971651
0.0084228515625,0.0009449814485666674,0.016243661423228944
0.0086669921875,-0.0031376645421654636,0.019506306676509766
0.0089111328125,0.008805412463066278,0.020505186641486903
0.0091552734375,-0.001552925370489823,0.016483480663259335
0.0093994140625,0.003906634564090423,0.02358589812460051
0.0096435546875,-0.0024336565037940084,0.016669854425024718
0.0098876953125,-0.010542072622469152,0.029380802631583523
0.0101318359375,0.010062570586364884,0.016064069249009317
0.0103759765625,-0.0036444836531293184,0.020671607897849612
0.0106201171875,0.007742729556421149,0.014604388101728797
0.0108642578125,-0.0056312410404314485,0.024595705037770123
0.0111083984375,0.0014841139323551952,0.01928975443963992
0.0113525390625,0.00878683355725901,0.025493420405737783
0.0115966796875,-0.016995200214100076,0.01606167690777855
0.0118408203125,0.0017480494262399338,0.015064724830802581
0.0120849609375,0.016187624645177028,0.01642263251077189
0.0123291015625,-0.0065004590632049,0.02266586102024898
0.0125732421875,-0.0015651908920951592,0.018830864205518924
0.0128173828125,-0.008345320259257036,0.02094565308432802
0.0130615234375,0.009087686577264584,0.022571020143883784
0.0133056640625,0.0005353843648365428,0.014182516549113367
0.0135498046875,0.002737337798814493,0.01545836934289568
