time_s,residual_median,residual_mad
0.0,3.469446951953614e-18,0.034399858200430136
0.000244140625,-6.938893903907228e-18,0.03871386587230729
0.00048828125,0.0,0.039085090244373163
0.000732421875,0.0,0.03258614378899642
0.0009765625,-6.938893903907228e-18,0.03530006710231085
0.001220703125,3.469446951953614e-18,0.037605884066190545
0.00146484375,0.0,0.03632643971906785
0.001708984375,8.673617379884035e-19,0.03468372881545374
0.001953125,3.469446951953614e-18,0.050122304895224096
0.002197265625,-3.469446951953614e-18,0.04069119405428932
0.00244140625,-3.469446951953614e-18,0.04409594383873424
0.002685546875,1.734723475976807e-18,0.03791934354328416
0.0029296875,0.0,0.031931409661047135
0.003173828125,-3.469446951953614e-18,0.04318511288559398
0.00341796875,0.0,0.034470439061690714
0.003662109375,-6.938893903907228e-18,0.045264895069446594
0.00390625,0.0,0.03965447436317478
0.004150390625,0.0,0.04350750453610895
0.00439453125,0.0,0.050278742298332596
0.004638671875,0.0,0.049828594065437715
0.0048828125,0.0,0.040470689264192665
0.005126953125,3.469446951953614e-18,0.04027520663660996
0.00537109375,0.0,0.04174609600615681
0.005615234375,6.938893903907228e-18,0.04722051137360242
0.005859375,-3.469446951953614e-18,0.043997998366011544
0.006103515625,-3.469446951953614e-18,0.04417085826440637
0.00634765625,0.0,0.04062294881503089
0.006591796875,0.0,0.0413373366220634
0.0068359375,0.0,0.05015371294539748
0.007080078125,0.0,0.05768739998452129
0.00732421875,0.0,0.05122670401736119
0.007568359375,0.0,0.04636993106776546
0.0078125,-8.673617379884035e-19,0.03793444808352205
0.008056640625,0.0,0.034941972942144024
0.00830078125,0.0,0.0439884468341102
0.008544921875,0.0,0.03904589315501133
0.0087890625,6.938893903907228e-18,0.04898206864038217
0.009033203125,0.0,0.03625638266450572
0.00927734375,3.469446951953614e-18,0.03597714694703517
0.009521484375,-1.734723475976807e-18,0.03861735968244499
0.009765625,0.0,0.03732745434094911
0.010009765625,-3.469446951953614e-18,0.046425621090458835
0.01025390625,0.0,0.04473203026616325
0.010498046875,0.0,0.038536808917014276
0.0107421875,0.0,0.0395942518040687
0.010986328125,-4.336808689942018e-19,0.038414863562980794
0.01123046875,1.734723475976807e-18,0.0408177222810502
0.011474609375,0.0,0.04181049782621331
0.01171875,-6.938893903907228e-18,0.04747760991951935
0.011962890625,0.0,0.047772030688444975
0.01220703125,0.0,0.04665205498353271
0.012451171875,3.469446951953614e-18,0.0437275835978447
0.0126953125,1.734723475976807e-18,0.052185091321991055
0.012939453125,1.734723475976807e-18,0.03711196604167444
0.01318359375,0.0,0.04522898778844619
0.013427734375,0.0,0.03966778240746735
0.013671875,3.469446951953614e-18,0.041493307431801796
0.013916015625,0.0,0.0407620132107824
0.01416015625,0.0,0.04886054672517626
0.014404296875,0.0,0.05008204969930263
0.0146484375,0.0,0.046262239975680054
