Family,Consensus RMSE vs truth,Collective exp-fit RMSE vs truth,Single-capture exp-fit RMSE vs truth,Collective boundary MAE (samples),Single boundary MAE (samples),Collective pole log-MAE,Single pole log-MAE,Alignment lag MAE (samples),Median pointwise spread
15,0.008219867889266336,0.01268411349302727,0.037839527619990675,14.8,18.4,0.39126653562738856,0.945797233713618,0.56,0.04635829150155721
16,0.012444688030421357,0.011309473256993328,0.03305672871092074,0.6,5.6,0.17749771587934926,0.5927968611789625,0.53,0.04578882731494842
17,0.010966350084499277,0.015797892450821794,0.027163619109593255,3.6,4.4,0.523687621699677,1.186940541540561,0.11,0.046185301216451036
18,0.006879696627822545,0.004982370015953098,0.039608699371424166,5.2,18.8,0.5362843683458135,1.295938368583201,0.56,0.04692889627299274
19,0.009501333907001766,0.008326460193588407,0.029362426987551194,5.0,11.0,1.0317956993434934,0.7176958079086001,1.12,0.04454477512349607
20,0.010411600190207685,0.009140800885111593,0.04515372481145882,4.0,10.4,0.2902226787900386,1.525726503253665,0.41,0.043850168048926635
21,0.018899086865141856,0.017867631309278865,0.04138632970890884,7.2,7.2,0.3079151777058124,0.8882617071952744,1.14,0.0441005636196269
22,0.011245096004213587,0.013581747238878927,0.03194288991257007,5.2,26.0,0.56536137056819,0.9617124783484914,0.33,0.044219818595235605
23,0.016170852413198544,0.01570592859720171,0.04478866623415936,5.8,15.4,1.0771996755549822,1.8566331183342986,1.28,0.047801014837371494
24,0.006930234415127777,0.021798558094278817,0.026863926085361554,2.4,2.8,0.3933251352752916,0.3877357356453217,0.06,0.04413362776009242
25,0.006503343621619461,0.004593853858486669,0.02059136596085201,1.2,5.0,0.24036121339232297,1.0252818196757116,0.12,0.04621600494315059
26,0.008642019044506549,0.006945099926787653,0.08244320986405583,11.4,11.8,0.4898836970427917,1.8716550743910034,1.59,0.04593875391373892
27,0.009220603523427604,0.011898350936959195,0.034232566064811315,13.6,11.0,0.4251102370853548,1.259842904846923,0.61,0.04529160666033692
