frequency_hz,psd_v2_per_hz
0.0,1.7149433019015757e-05
19.531249999999442,1.82097605552872e-05
39.062499999998884,4.231163560815621e-06
58.59374999999832,1.1798369674836798e-06
78.12499999999777,8.357107896648317e-07
97.65624999999721,2.283907387728051e-06
117.18749999999665,5.982678856517231e-06
136.7187499999961,3.392361767058253e-06
156.24999999999554,1.3261273080700056e-06
175.78124999999497,5.200150370128371e-07
195.31249999999443,1.70032305565476e-06
214.84374999999386,4.444625775656248e-06
234.3749999999933,8.952904899717693e-06
253.90624999999275,1.666852942827684e-05
273.4374999999922,1.1167567524138425e-05
292.96874999999164,1.6744950697935702e-06
312.4999999999911,7.46179204459939e-07
332.0312499999905,1.3150122825769425e-06
351.56249999998994,1.921444995312114e-06
371.0937499999894,6.544681446151413e-06
390.62499999998886,7.07468020361273e-06
410.1562499999883,2.52813876702057e-07
429.6874999999877,1.5344872341645543e-06
449.21874999998715,1.2982645116714436e-05
468.7499999999866,0.0006223826853176547
488.2812499999861,0.024852034981768936
507.8124999999855,0.032371539618557696
527.343749999985,0.00200260965942382
546.8749999999844,3.333814466148151e-05
566.4062499999839,3.335292635161451e-06
585.9374999999833,1.71906498404868e-06
605.4687499999827,2.6465426508476605e-06
624.9999999999822,7.398538400662027e-06
644.5312499999816,3.860348758471945e-06
664.062499999981,1.5952512977648121e-06
683.5937499999804,1.819968054824929e-07
703.1249999999799,1.7414104452457252e-06
722.6562499999793,8.994688743431191e-06
742.1874999999789,1.5938688024212485e-05
761.7187499999783,9.376647092132834e-06
781.2499999999777,4.3404449513031515e-06
800.7812499999771,1.5657621059484833e-06
820.3124999999766,3.6239389632304873e-07
839.843749999976,1.3365295603612942e-06
859.3749999999754,4.554538990407601e-06
878.9062499999749,7.254861013406626e-06
898.4374999999743,4.061089906544992e-06
917.9687499999737,2.8870091196423756e-06
937.4999999999732,6.593114135013031e-07
957.0312499999727,3.6352979483652553e-06
976.5624999999721,8.979053100692227e-06
996.0937499999716,1.1374834657450597e-05
1015.624999999971,1.136457934967859e-05
1035.1562499999704,5.873443627791649e-06
1054.68749999997,1.3690950618669064e-06
1074.2187499999693,5.079839693395748e-07
1093.7499999999688,2.6100427169470688e-06
1113.2812499999682,4.903006162151083e-06
1132.8124999999677,5.235923323405314e-06
1152.343749999967,2.3339376912094546e-06
1171.8749999999666,3.485145879835186e-07
1191.406249999966,1.2619869464576778e-06
1210.9374999999654,2.960179585715387e-06
1230.4687499999648,6.106282128860702e-06
1249.9999999999643,1.793263236508902e-05
1269.5312499999638,1.8313387454847156e-05
1289.0624999999632,3.866451675603802e-06
1308.5937499999627,6.767061356530424e-07
1328.124999999962,1.1627035314545932e-06
1347.6562499999616,1.6253752652561285e-06
1367.187499999961,3.823453980610091e-06
1386.7187499999604,4.846282213132532e-06
1406.2499999999598,8.537506976390747e-07
1425.7812499999593,7.323077180652544e-07
1445.3124999999586,4.1860948573127054e-07
1464.8437499999582,1.042225491577966e-05
1484.3749999999577,0.0018434924253555077
1503.906249999957,0.004142084447651146
1523.4374999999566,0.0005305242391926962
1542.968749999956,5.830494955800818e-06
1562.4999999999554,2.7864191136526444e-07
1582.0312499999548,5.276840134654206e-07
1601.5624999999543,1.588447950611002e-06
1621.0937499999536,6.112064086328045e-06
1640.6249999999532,1.4002876845979593e-06
1660.1562499999525,2.2428124035156323e-06
1679.687499999952,1.3617515812725922e-06
1699.2187499999516,7.04766196081368e-07
1718.749999999951,8.755467418229993e-06
1738.2812499999504,1.8600862095531835e-05
1757.8124999999498,1.0168495184394508e-05
1777.3437499999493,5.896018390685003e-06
1796.8749999999486,1.9966554179950573e-06
1816.4062499999482,1.4467437052518124e-07
1835.9374999999475,5.056029350668275e-07
1855.468749999947,2.791571079692798e-06
1874.9999999999463,6.0996957346683465e-06
1894.5312499999459,4.5989614501147646e-06
1914.0624999999454,2.5138381065968143e-06
1933.5937499999447,1.0324860984813473e-06
1953.1249999999443,3.7069129970491733e-06
1972.6562499999436,8.194507461390517e-06
1992.1874999999432,9.200421942318865e-06
2011.7187499999425,7.6051146415605794e-06
2031.249999999942,7.006344429068426e-06
2050.7812499999413,3.334997867754162e-06
2070.312499999941,4.303491404922174e-07
2089.8437499999404,1.6277258625169308e-06
2109.37499999994,5.4948155083483874e-06
2128.906249999939,6.793612735926774e-06
2148.4374999999386,3.6111598761312803e-06
2167.968749999938,1.401878196542573e-07
2187.4999999999377,1.2629540962614905e-06
2207.031249999937,3.1376400667531594e-06
2226.5624999999363,3.5472177762483786e-06
2246.093749999936,1.0900951590210176e-05
2265.6249999999354,1.5851313486753572e-05
2285.1562499999345,4.9781346890784376e-06
2304.687499999934,4.982968074800616e-07
2324.2187499999336,1.2142406473041118e-06
2343.749999999933,2.723858970325802e-06
2363.2812499999327,3.568943505507775e-06
2382.812499999932,6.89317135610893e-06
2402.3437499999313,2.087472615013532e-06
2421.874999999931,1.1307972765948259e-07
2441.4062499999304,1.0543343721851707e-07
2460.9374999999295,7.421638140064385e-07
2480.468749999929,0.0003877692639974675
2499.9999999999286,0.0015530929662762032
2519.531249999928,0.00036358505068771903
2539.0624999999277,1.4348515769260329e-06
2558.593749999927,1.2919834220314115e-07
2578.1249999999263,5.252137982762845e-07
2597.656249999926,2.9446469730319735e-07
2617.1874999999254,5.113061557168611e-06
