label,command_time_s,current_onset_s,motion_onset_s,analog_threshold_time_s,digital_output_time_s,command_to_current_s,current_to_motion_s,actuation_delay_s,actuator_response_time_s,sensor_decision_delay_s,total_chain_latency_s,Case,command_to_current_ms,current_to_motion_ms,actuation_delay_ms,actuator_response_time_ms,sensor_decision_delay_ms,total_chain_latency_ms,actuation_z,travel_z,decision_z,total_z
m4_h_00,0.0201199773161306,0.02152,0.02356,0.036473604878321284,0.03719829288484188,0.0014000226838693994,0.00204,0.0034400226838693995,0.012913604878321282,0.0007246880065205977,0.01707831556871128,Healthy baseline,1.4000226838693994,2.04,3.4400226838693997,12.913604878321282,0.7246880065205976,17.07831556871128,-0.673565545630783,-0.8261482615317157,1.541594507506143,-0.11687210229126084
m4_h_01,0.020000041495026336,0.02134,0.023440000000000003,0.03637030204286442,0.03703235487813809,0.0013399585049736658,0.002100000000000001,0.003439958504973667,0.012930302042864418,0.0006620528352736729,0.017032313383111758,Healthy baseline,1.3399585049736658,2.100000000000001,3.439958504973667,12.930302042864419,0.662052835273673,17.03231338311176,-0.6750084356854347,0.17183744744353519,-0.033639220826156245,-0.7168819325431726
m4_h_02,0.020019998775193233,0.021460000000000003,0.023440000000000003,0.0364031481420314,0.03705244821475214,0.0014400012248067702,0.001979999999999999,0.0034200012248067693,0.012963148142031394,0.0006493000727207446,0.017032449439558908,Healthy baseline,1.4400012248067702,1.979999999999999,3.4200012248067693,12.963148142031395,0.6493000727207445,17.03244943955891,-1.1236942652251907,2.135041288403612,-0.35436288618648926,-0.7151073384734468
m4_h_03,0.019920027476678186,0.021320000000000002,0.023420000000000003,0.03634098224883293,0.03701194820541153,0.0013999725233218158,0.002100000000000001,0.003499972523321817,0.012920982248832924,0.0006709659565786036,0.017091920728733345,Healthy baseline,1.3999725233218157,2.100000000000001,3.499972523321817,12.920982248832924,0.6709659565786036,17.091920728733346,0.6742455398746882,-0.3852045119858955,0.19051997000439996,0.060580982795942845
m4_h_04,0.020019963389277386,0.021380000000000003,0.023440000000000003,0.036364674881721494,0.037034096687681824,0.0013600366107226168,0.0020599999999999993,0.003420036610722616,0.012924674881721492,0.0006694218059603296,0.017014133298404437,Healthy baseline,1.3600366107226167,2.059999999999999,3.420036610722616,12.924674881721492,0.6694218059603296,17.014133298404438,-1.1228987079712476,-0.16449668810585735,0.1516855885042499,-0.954006090820518
m4_h_05,0.02001997002186651,0.02142,0.02346,0.03640581400658144,0.03704670341466492,0.0014000299781334914,0.00204,0.0034400299781334916,0.012945814006581437,0.0006408894080834823,0.01702673339279841,Healthy baseline,1.4000299781334915,2.04,3.4400299781334915,12.945814006581436,0.6408894080834824,17.02673339279841,-0.6734015536986333,1.0989839738932345,-0.5658856193498911,-0.78966214933256
m4_h_06,0.019920047562949753,0.021300000000000003,0.023360000000000002,0.03629457443585248,0.03695383244979603,0.0013799524370502504,0.0020599999999999993,0.0034399524370502498,0.01293457443585248,0.0006592580139435505,0.01703378488684628,Healthy baseline,1.3799524370502505,2.059999999999999,3.4399524370502497,12.934574435852479,0.6592580139435505,17.03378488684628,-0.6751448566420611,0.4271973999789899,-0.10392715548375424,-0.6976890030234295
m4_h_07,0.020080048518956048,0.021480000000000003,0.02356,0.036512942631885884,0.037139790658487014,0.0013999514810439546,0.0020799999999999985,0.003479951481043953,0.012952942631885882,0.0006268480266011303,0.017059742139530966,Healthy baseline,1.3999514810439546,2.0799999999999983,3.4799514810439534,12.952942631885882,0.6268480266011303,17.059742139530965,0.22412619056606575,1.525060279250178,-0.9190172108032703,-0.35912668094744976
m4_h_08,0.01998006597012048,0.021380000000000003,0.023520000000000003,0.03645265008600289,0.037096650521646235,0.0013999340298795244,0.0021399999999999995,0.003539934029879524,0.012932650086002886,0.0006440004356433465,0.017116584551525756,Healthy baseline,1.3999340298795244,2.1399999999999997,3.539934029879524,12.932650086002885,0.6440004356433465,17.116584551525758,1.5726726586783446,0.3121794492363818,-0.4876453041322645,0.38227300534176
m4_h_09,0.019940037465500507,0.02134,0.02356,0.036475605951569144,0.03716695124810299,0.0013999625344994944,0.0022199999999999998,0.003619962534499494,0.012915605951569143,0.000691345296533849,0.017226913782602486,Healthy baseline,1.3999625344994944,2.2199999999999998,3.619962534499494,12.915605951569143,0.691345296533849,17.226913782602487,3.3718985893638376,-0.7065445708081541,0.7030470856739178,1.8213051371294495
m4_h_10,0.019999988432410607,0.021380000000000003,0.02348,0.036408410803979885,0.03703733049399443,0.001380011567589396,0.0020999999999999977,0.0034800115675893938,0.012928410803979884,0.0006289196900145441,0.017037342061583822,Healthy baseline,1.380011567589396,2.099999999999998,3.480011567589394,12.928410803979883,0.6289196900145442,17.03734206158382,0.2254770751184563,0.058798531515785964,-0.8669162263628123,-0.6512925159297608
