case,repeat,true_swell,detected_swell,status,classification,confidence,selected_window_samples,event_count,duration_s,max_excess,excess_area_s,equivalent_duration_s,median_correlation,median_rms_ratio,unknown_residual_energy
clean_swell,0,True,True,clean_swell_supported,clean_swell_supported,0.7652634866405779,81,1,0.393,0.19026529748195653,0.06765536170608374,0.35558434775789693,0.99921462814784,1.1810934711081544,0.5468197266420123
clean_swell,1,True,True,clean_swell_supported,clean_swell_supported,0.9062643445389315,81,1,0.387,0.28791832092893577,0.10149132565999608,0.35250040821489176,0.9997199656612424,1.2743644735543171,0.25845276557418917
clean_swell,2,True,True,clean_swell_supported,clean_swell_supported,0.9008749312441453,81,1,0.47000000000000003,0.29569533325102815,0.12493892442430367,0.4225258581211283,0.9995033859453575,1.2985721632076288,0.6630457167171466
clean_swell,3,True,True,clean_swell_supported,clean_swell_supported,0.6816681580632318,81,1,0.361,0.17012283275718887,0.05162784007395396,0.3034739031629035,0.9994433143827395,1.1438204216368553,0.5544789337751542
clean_swell,4,True,True,clean_swell_supported,clean_swell_supported,0.8130634958064366,81,1,0.482,0.22026955679933624,0.09333950170337733,0.42375125759393456,0.9993606816791718,1.2023532536109065,0.5919279060991333
clean_swell,5,True,True,clean_swell_supported,clean_swell_supported,0.9101785379708457,81,1,0.649,0.30091207194373326,0.17560117206942683,0.5835630685573227,0.9993517212275033,1.2972814309101415,0.6717990356130098
clean_swell,6,True,True,clean_swell_supported,clean_swell_supported,0.9462184879716538,81,1,0.372,0.31449074372510455,0.10301561676414045,0.3275632711600126,0.9997912537751836,1.3092646115854505,0.5062959693001899
clean_swell,7,True,True,clean_swell_supported,clean_swell_supported,0.9299495030769774,41,1,0.334,0.4610529627372111,0.1276832292855712,0.2769383120922433,0.9995502014841668,1.4153010281551561,0.3144030115149027
clean_swell,8,True,True,clean_swell_supported,clean_swell_supported,0.9108691189224419,81,1,0.374,0.2622029341487109,0.08765982745361646,0.33432054350657786,0.9993404225783324,1.2531558173402568,0.5775764614804587
clean_swell,9,True,True,clean_swell_supported,clean_swell_supported,0.9108809558054239,81,1,0.507,0.321291441249814,0.14106305669566194,0.43905015380095685,0.9995605490096453,1.3258134110842195,0.44062810756297716
clean_swell,10,True,True,clean_swell_supported,clean_swell_supported,0.8867923558533225,81,1,0.599,0.2737975220338472,0.13954119483698166,0.5096510508949434,0.9993909381822683,1.258195454802482,0.5951027417290087
clean_swell,11,True,True,clean_swell_supported,clean_swell_supported,0.9290912996681449,41,1,0.585,0.4040416785604357,0.20056032757194409,0.49638524492453984,0.9993873262883085,1.3654046665612622,0.3728767555969741
clean_swell,12,True,True,clean_swell_supported,clean_swell_supported,0.9293175216011267,41,1,0.333,0.393006921730925,0.1124376929112755,0.28609596089571365,0.9995867999337504,1.361294186912355,0.43184142915399204
clean_swell,13,True,True,clean_swell_supported,clean_swell_supported,0.883108011231277,81,1,0.377,0.2646926413575399,0.08975952130845209,0.3391084876712053,0.9996407146360302,1.2494607989847335,0.3887070484125219
clean_swell,14,True,True,clean_swell_supported,clean_swell_supported,0.9562465667409732,81,1,0.628,0.34081370416408296,0.1777562215222868,0.5215641840408711,0.9993850769832985,1.3224624837065166,0.810991268281295
clean_swell,15,True,True,clean_swell_supported,clean_swell_supported,0.9485425900133457,81,1,0.47500000000000003,0.3416367864879717,0.14236891485480288,0.4167259513191077,0.9992863535544453,1.3219353197556711,0.8019826441823927
clean_swell,16,True,True,clean_swell_supported,clean_swell_supported,0.9039482292782812,81,1,0.529,0.332745517742543,0.14617794864855216,0.43930854317819906,0.9997920059504426,1.3034987604232413,0.9882462920160234
clean_swell,17,True,True,clean_swell_supported,clean_swell_supported,0.6697539815600598,81,1,0.293,0.17962766925176565,0.04735304892429194,0.2636177885152094,0.9996831464734067,1.14998855110787,0.24627974323357069
clean_swell,18,True,True,clean_swell_supported,clean_swell_supported,0.9120264339990461,81,1,0.379,0.26434750448984345,0.08985069622397818,0.3398961393540613,0.9997884345098426,1.257415332771093,0.28608589040243215
clean_swell,19,True,True,clean_swell_supported,clean_swell_supported,0.903165559765422,81,1,0.34,0.27438293743566344,0.08052406697192702,0.29347330313062225,0.9993684932974871,1.2578950969846068,0.8379644918306023
clean_swell,20,True,True,clean_swell_supported,clean_swell_supported,0.8686136565456598,81,1,0.384,0.26151177853213414,0.08642633212177442,0.3304873402142171,0.9992389283889906,1.2514904553530726,0.5797734054281077
clean_swell,21,True,True,clean_swell_supported,clean_swell_supported,0.9075493221468551,41,1,0.379,0.46108890173322203,0.14481926248289034,0.3140809981296844,0.9996306169029784,1.3881145792766276,0.30675099691292257
clean_swell,22,True,True,clean_swell_supported,clean_swell_supported,0.935999662809188,81,1,0.489,0.33231842354276986,0.13302775485009039,0.40030207603873497,0.9993774890360375,1.315009825657229,0.8977468031140479
clean_swell,23,True,True,clean_swell_supported,clean_swell_supported,0.9480711541649297,41,1,0.387,0.39092774298326893,0.12614078832515618,0.32267034148700674,0.999077287298491,1.3606121843838632,0.598485607335322
clean_swell,24,True,True,clean_swell_supported,clean_swell_supported,0.9553746927298242,81,1,0.59,0.3402999244750198,0.17811900766696362,0.5234177114254361,0.9995178935805409,1.3248248997974041,0.7255348587830291
clean_swell,25,True,True,clean_swell_supported,clean_swell_supported,0.850245522080518,81,1,0.363,0.2507777043642998,0.07452440322898636,0.29717316145747247,0.9996844010710962,1.2638766393414846,0.4508436916186249
clean_swell,26,True,True,clean_swell_supported,clean_swell_supported,0.9299301813298066,81,1,0.325,0.29265078732574656,0.08176368568752984,0.2793899392333414,0.9997609620287303,1.2827358988621866,0.6096651495316096
clean_swell,27,True,True,clean_swell_supported,clean_swell_supported,0.9373869321854268,81,1,0.619,0.33687521142484944,0.17900530175969825,0.5313697644969968,0.9997428827231648,1.3177736224543968,0.42998774951619895
clean_swell,28,True,True,clean_swell_supported,clean_swell_supported,0.805321094542258,81,1,0.619,0.23836307208746166,0.12160301808487356,0.510158796914038,0.9992023824608348,1.1997135504549798,0.7219642768658643
clean_swell,29,True,True,clean_swell_supported,clean_swell_supported,0.8216910466399705,81,1,0.394,0.21793348057878248,0.07853459744896185,0.3603604055714228,0.9994300896527775,1.2046882131544916,0.4431241495308966
clean_swell,30,True,True,clean_swell_supported,clean_swell_supported,0.9275329341076192,81,1,0.551,0.29741331759603695,0.14179606354392438,0.4767643382281877,0.9993296281789811,1.2807198488872213,0.9225171869874129
clean_swell,31,True,True,clean_swell_supported,clean_swell_supported,0.9638739267258334,41,1,0.46,0.5839366362111208,0.16943521238729634,0.29016027061887834,0.9986987440791113,1.3987253578338557,0.8443378965395356
clean_swell,32,True,True,clean_swell_supported,clean_swell_supported,0.8193790276465581,81,1,0.462,0.21485553687437475,0.08366440201658061,0.38939839872732196,0.9992385869098771,1.2077789702376096,0.654535713233111
clean_swell,33,True,True,clean_swell_supported,clean_swell_supported,0.8776909287514093,81,1,0.37,0.2619713918015638,0.08075002792828524,0.30823987067050124,0.9995483999564123,1.2423442280979689,0.49887110260001893
clean_swell,34,True,True,clean_swell_supported,clean_swell_supported,0.8153741892131979,81,1,0.47100000000000003,0.21061522829563584,0.08511825412257748,0.404141024423452,0.9993165902849456,1.1967314801142601,0.7893290489265417
clean_swell,35,True,True,distorted_swell_supported,distorted_swell_supported,0.9577044014547437,81,1,0.583,0.41806839546869834,0.21027618700161826,0.5029707800941917,0.9992726879772271,1.3930868852781146,1.3717885772046725
clean_swell,36,True,True,clean_swell_supported,clean_swell_supported,0.8396595887825562,81,1,0.548,0.23582788896436546,0.11234310032948064,0.4763775006545393,0.9992272934427271,1.2237351425264502,0.7440093610274426
clean_swell,37,True,True,clean_swell_supported,clean_swell_supported,0.9314768945697298,81,1,0.5640000000000001,0.32953175309863925,0.1678778721369301,0.5094436895939402,0.9995862605847752,1.3046677020901023,0.4232821273037517
clean_swell,38,True,True,clean_swell_supported,clean_swell_supported,0.8994262422530942,41,1,0.556,0.4327564913110573,0.20586897262224071,0.47571550457521833,0.9996630245175391,1.3565434585448395,0.2490018990440085
