case,repeat,true_interruption,detected_interruption,status,selected_window_samples,confidence,true_retained_pu,duration_s,minimum_retained_rms_pu,median_retained_rms_pu,subtype
instantaneous_interruption,0,True,True,instantaneous_interruption,9,0.6193812693269315,0.03875700603847591,0.27555555555555555,0.01754335658412382,0.03806187306730673,instantaneous_interruption
instantaneous_interruption,1,True,True,instantaneous_interruption,9,0.3294420111409476,0.06892615543868083,0.29444444444444445,0.05283619583912559,0.06705579888590524,instantaneous_interruption
instantaneous_interruption,2,True,True,instantaneous_interruption,9,0.5389589819520523,0.04532382556263125,0.1411111111111111,0.03529711565563243,0.0461041007315099,instantaneous_interruption
instantaneous_interruption,3,True,True,instantaneous_interruption,9,0.756735501471365,0.024127047328192097,0.39555555555555555,0.005646716316092262,0.024326449852863502,instantaneous_interruption
instantaneous_interruption,4,True,True,instantaneous_interruption,9,0.8626242924831398,0.006579628965193213,0.30333333333333334,0.0046556805178318145,0.013737570751686023,instantaneous_interruption
instantaneous_interruption,5,True,True,instantaneous_interruption,9,0.5039662412486587,0.05021235799816724,0.2,0.03810777237916815,0.049603375874277995,instantaneous_interruption
instantaneous_interruption,6,True,True,instantaneous_interruption,9,0.7720822812642294,0.02566633669606921,0.14222222222222222,0.010701638800596873,0.022791770527974056,instantaneous_interruption
instantaneous_interruption,7,True,True,instantaneous_interruption,9,0.8496499017083354,0.007793734613441011,0.23777777777777778,0.0037962498117515386,0.015035009829150948,instantaneous_interruption
instantaneous_interruption,8,True,True,instantaneous_interruption,9,0.46323358745848686,0.05621085522976894,0.3877777777777778,0.044434828864021954,0.053676641254151315,instantaneous_interruption
instantaneous_interruption,9,True,True,instantaneous_interruption,9,0.8609721384782345,0.012418108259662705,0.40555555555555556,0.0042131793755857145,0.013902786152176553,instantaneous_interruption
instantaneous_interruption,10,True,True,instantaneous_interruption,9,0.691925481575652,0.02558343400451294,0.30666666666666664,0.011911394289886728,0.030807451842434806,instantaneous_interruption
instantaneous_interruption,11,True,True,instantaneous_interruption,9,0.8802917915050295,0.00616288320661205,0.052222222222222225,0.0037469640612932398,0.011895549169532693,instantaneous_interruption
instantaneous_interruption,12,True,True,instantaneous_interruption,9,0.8522392422062559,0.01464174584211712,0.13666666666666666,0.006795809805523414,0.014776072886400267,instantaneous_interruption
instantaneous_interruption,13,True,True,instantaneous_interruption,9,0.776041914441615,0.021860491149102504,0.3088888888888889,0.011914665167476966,0.022395808555838496,instantaneous_interruption
instantaneous_interruption,14,True,True,instantaneous_interruption,9,0.3863458546428982,0.061688494798951624,0.29444444444444445,0.04967196626346127,0.06136541453571017,instantaneous_interruption
instantaneous_interruption,15,True,True,instantaneous_interruption,9,0.8766816339958295,0.007493455632819954,0.22777777777777777,0.00435665401640836,0.012331836600363924,instantaneous_interruption
instantaneous_interruption,16,True,True,instantaneous_interruption,9,0.44061175383964424,0.05700816389860694,0.17333333333333334,0.04637107619808293,0.05593882459767259,instantaneous_interruption
instantaneous_interruption,17,True,True,instantaneous_interruption,9,0.7685331122414223,0.02205072981078638,0.12111111111111111,0.012188230238702654,0.02314667190532792,instantaneous_interruption
instantaneous_interruption,18,True,True,instantaneous_interruption,9,0.7425532589812559,0.0223324169654973,0.3433333333333333,0.008310705828032788,0.02574467410187441,instantaneous_interruption
instantaneous_interruption,19,True,True,instantaneous_interruption,9,0.634416721666926,0.0365529708481874,0.24222222222222223,0.020385976499411405,0.03655832783330061,instantaneous_interruption
instantaneous_interruption,20,True,True,instantaneous_interruption,9,0.4576503467760496,0.05712556958321376,0.2811111111111111,0.04786438966577454,0.054234965322395,instantaneous_interruption
